AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
0.061,616682.899,-0.01611,0.00866,-0.00173,7,4.8,0.6
0.062,616682.919,0.04567,0.02463,0.00146,7,4.8,0.6
0.064,616682.939,0.08402,-0.04354,-0.0028,7,4.8,0.6
0.065,616682.959,0.07656,0.04061,0.00253,7,4.8,0.6
0.084,616682.979,0.03822,-0.02756,-0.00173,7,4.8,0.6
0.116,616682.999,-0.01718,0.01079,0.0004,7,4.8,0.6
0.126,616683.02,-0.05979,0.00439,-0.00067,7,4.8,0.6
0.144,616683.04,-0.06831,-0.01265,-0.00067,7,4.8,0.6
0.164,616683.06,-0.047,0.01824,0.0004,7,4.8,0.6
0.184,616683.08,-0.00333,-0.01371,-0.00067,7,4.8,0.6
0.204,616683.1,0.03608,0.00546,0.0004,7,4.8,0.6
0.224,616683.12,0.05632,-0.00093,-0.00067,7,4.8,0.6
0.244,616683.14,0.0478,-0.00413,0.0004,7,4.8,0.6
0.265,616683.16,0.01691,0.00652,0.0004,7,4.8,0.6
0.287,616683.181,-0.02037,-0.00626,-0.00067,7,4.8,0.6
0.304,616683.201,-0.04487,0.00546,0.0004,7,4.8,0.6
0.326,616683.221,-0.04487,-0.002,-0.00067,7,4.8,0.6
0.345,616683.241,-0.02463,-0.00093,0.0004,7,4.8,0.6
0.365,616683.261,0.00626,0.00333,0.0004,7,4.8,0.6
0.387,616683.281,0.03182,-0.00519,-0.00067,7,4.8,0.6
0.407,616683.301,0.04035,0.00333,-0.00067,7,4.8,0.6
0.429,616683.321,0.02756,-0.00306,-0.00067,7,4.8,0.6
0.446,616683.342,0.002,0.00013,0.0004,7,4.8,0.6
0.466,616683.362,-0.02144,0.0012,0.0004,7,4.8,0.6
0.486,616683.382,-0.03316,0.00013,0.0004,7,4.8,0.6
0.507,616683.402,-0.02676,0.00226,-0.00067,7,4.8,0.6
0.527,616683.422,-0.00866,-0.00093,0.0004,7,4.8,0.6
0.547,616683.442,0.01265,0.0012,0.0004,7,4.8,0.6
0.566,616683.462,0.0265,-0.00093,-0.00067,7,4.8,0.6
0.586,616683.482,0.02437,0.00013,0.0004,7,4.8,0.6
0.606,616683.503,0.01158,0.0012,0.0004,7,4.8,0.6
0.627,616683.523,-0.00652,0.00013,0.0004,7,4.8,0.6
0.648,616683.543,-0.02037,0.00013,-0.00067,7,4.8,0.6
0.668,616683.563,-0.0225,0.00013,0.0004,7,4.8,0.6
0.688,616683.583,-0.01292,0.0012,0.0004,7,4.8,0.6
0.708,616683.603,0.00093,-0.00093,0.0004,7,4.8,0.6
0.728,616683.623,0.01478,0.00013,0.0004,7,4.8,0.6
0.749,616683.643,0.01904,0.00013,0.0004,7,4.8,0.6
0.768,616683.664,0.01265,0.00013,0.0004,7,4.8,0.6
0.789,616683.684,0.00093,0.00013,0.0004,7,4.8,0.6
0.811,616683.704,-0.01079,0.0012,0.0004,7,4.8,0.6
0.83,616683.724,-0.01611,0.0012,0.0004,7,4.8,0.6
0.848,616683.744,-0.01292,0.00013,-0.00067,7,4.8,0.6
0.869,616683.764,-0.00333,0.0012,0.0004,7,4.8,0.6
0.889,616683.784,0.00519,0.00759,0.0004,7,4.8,0.6
0.908,616683.804,-0.01398,0.06831,0.00253,7,4.8,0.6
0.928,616683.824,-0.00333,-0.12983,-0.00599,7,4.8,0.6
0.948,616683.845,0.00732,0.09281,0.00466,7,4.8,0.6
0.969,616683.865,0.01798,-0.05632,-0.00173,7,4.8,0.6
0.989,616683.885,0.02011,0.00759,0.0004,7,4.8,0.6
1.01,616683.905,0.01052,0.0257,0.00146,7,4.8,0.6
1.029,616683.925,-0.00013,-0.04035,-0.0028,7,4.8,0.6
1.049,616683.945,-0.01398,0.03848,0.0004,7,4.8,0.6
1.069,616683.965,-0.01611,-0.02543,0.0004,7,4.8,0.6
1.089,616683.985,-0.01292,0.00866,-0.00173,7,4.8,0.6
1.11,616684.006,-0.0012,0.00439,0.0004,7,4.8,0.6
1.13,616684.026,0.01052,-0.01265,-0.00067,7,4.8,0.6
1.152,616684.046,0.01371,0.01398,0.0004,7,4.8,0.6
1.171,616684.066,0.01265,-0.01158,0.0004,7,4.8,0.6
1.191,616684.086,0.00306,0.00546,-0.00067,7,4.8,0.6
1.212,616684.106,-0.00652,-0.00093,0.0004,7,4.8,0.6
1.232,616684.126,-0.01185,-0.00306,-0.00067,7,4.8,0.6
1.25,616684.146,-0.00972,0.00546,0.0004,7,4.8,0.6
1.272,616684.167,-0.00333,-0.00519,-0.00067,7,4.8,0.6
1.291,616684.187,0.00306,0.00546,-0.00067,7,4.8,0.6
1.312,616684.207,0.00839,-0.00413,0.0004,7,4.8,0.6
1.331,616684.227,0.00839,0.00226,0.0004,7,4.8,0.6
1.355,616684.247,0.00519,0.00013,0.0004,7,4.8,0.6
1.371,616684.267,-0.00226,-0.002,0.0004,7,4.8,0.6
1.392,616684.287,-0.00652,0.00226,-0.00067,7,4.8,0.6
1.411,616684.307,-0.00759,-0.00306,-0.00067,7,4.8,0.6
1.431,616684.328,-0.00439,0.00333,0.0004,7,4.8,0.6
1.453,616684.348,-0.00013,-0.002,0.0004,7,4.8,0.6
1.472,616684.368,0.00519,0.00013,-0.00067,7,4.8,0.6
1.492,616684.388,0.00626,0.00013,-0.00067,7,4.8,0.6
1.511,616684.408,0.00413,-0.002,-0.00067,7,4.8,0.6
1.532,616684.428,-0.00013,0.00226,-0.00067,7,4.8,0.6
1.552,616684.448,-0.00439,-0.002,0.0004,7,4.8,0.6
1.573,616684.468,-0.00546,0.0012,0.0004,7,4.8,0.6
1.592,616684.489,-0.00333,0.00013,0.0004,7,4.8,0.6
1.613,616684.509,-0.00013,-0.00093,-0.00067,7,4.8,0.6
1.632,616684.529,0.00306,0.00013,0.0004,7,4.8,0.6
1.653,616684.549,0.00413,0.00013,0.0004,7,4.8,0.6
1.674,616684.569,0.00306,0.00013,0.0004,7,4.8,0.6
1.694,616684.589,-0.00013,0.00013,0.0004,7,4.8,0.6
1.715,616684.609,-0.00226,0.00013,0.0004,7,4.8,0.6
1.734,616684.629,-0.00439,0.00013,0.0004,7,4.8,0.6
1.754,616684.649,-0.00333,0.00013,0.0004,7,4.8,0.6
1.773,616684.67,-0.00013,0.00013,-0.00067,7,4.8,0.6
1.794,616684.69,0.002,0.00013,-0.00067,7,4.8,0.6
1.816,616684.71,0.00306,-0.00093,0.0004,7,4.8,0.6
1.834,616684.73,0.00306,0.00013,-0.00067,7,4.8,0.6
1.854,616684.75,-0.00013,0.00013,-0.00067,7,4.8,0.6
1.874,616684.77,-0.00226,-0.00093,-0.00067,7,4.8,0.6
1.894,616684.79,-0.00333,0.00013,-0.00067,7,4.8,0.6
1.914,616684.81,-0.00226,0.00013,0.0004,7,4.8,0.6
1.935,616684.831,0.00093,0.0012,0.0004,7,4.8,0.6
1.955,616684.851,0.002,0.00013,0.0004,7,4.8,0.6
1.975,616684.871,0.002,0.00013,-0.00067,7,4.8,0.6
1.996,616684.891,0.002,0.0012,-0.00067,7,4.8,0.6
2.016,616684.911,-0.0012,0.00013,0.0004,7,4.8,0.6
2.035,616684.931,-0.00226,0.0012,0.0004,7,4.8,0.6
2.06,616684.951,-0.00226,0.0012,-0.00067,7,4.8,0.6
2.082,616684.971,-0.0012,-0.00093,-0.00067,7,4.8,0.6
2.095,616684.992,-0.00013,0.00226,0.0004,7,4.8,0.6
2.115,616685.012,0.002,-0.00093,0.0004,7,4.8,0.6
2.135,616685.032,0.002,0.0012,0.0004,7,4.8,0.6
2.158,616685.052,0.00093,-0.00093,-0.00067,7,4.8,0.6
2.177,616685.072,-0.00013,0.0012,-0.00067,7,4.8,0.6
2.197,616685.092,-0.0012,0.00013,0.0004,7,4.8,0.6
2.216,616685.112,-0.00226,0.00013,0.0004,7,4.8,0.6
2.237,616685.132,-0.0012,0.00013,0.0004,7,4.8,0.6
2.258,616685.153,-0.00013,0.00013,-0.00067,7,4.8,0.6
2.278,616685.173,0.00093,0.00013,-0.00067,7,4.8,0.6
2.297,616685.193,0.00093,0.00013,0.0004,7,4.8,0.6
2.318,616685.213,0.00093,0.0012,0.0004,7,4.8,0.6
2.341,616685.233,-0.00013,-0.00093,0.0004,7,4.8,0.6
2.363,616685.253,-0.0012,0.0012,-0.00067,7,4.8,0.6
2.378,616685.273,-0.0012,0.00013,0.0004,7,4.8,0.6
2.397,616685.293,-0.00013,0.00013,-0.00067,7,4.8,0.6
2.418,616685.314,-0.00013,0.00013,-0.00067,7,4.8,0.6
2.438,616685.334,-0.00013,0.0012,0.0004,7,4.8,0.6
2.529,616685.354,0.00093,0.00013,0.0004,7,4.8,0.6
2.531,616685.374,0.00093,0.00013,0.0004,7,4.8,0.6
2.536,616685.394,-0.00013,0.00013,-0.00067,7,4.8,0.6
2.538,616685.414,-0.0012,0.00013,0.0004,7,4.8,0.6
2.542,616685.434,-0.0012,-0.00093,0.0004,7,4.8,0.6
2.559,616685.454,-0.0012,0.00013,-0.00067,7,4.8,0.6
2.579,616685.474,-0.00013,0.00013,0.0004,7,4.8,0.6
2.6,616685.495,0.00093,0.00013,0.0004,7,4.8,0.6
2.619,616685.515,0.00093,0.00013,0.0004,7,4.8,0.6
2.64,616685.535,0.00093,0.00013,0.0004,7,4.8,0.6
2.66,616685.555,-0.00013,0.00013,0.0004,7,4.8,0.6
2.681,616685.575,-0.00013,0.00013,0.0004,7,4.8,0.6
2.702,616685.595,-0.0012,0.00013,-0.00067,7,4.8,0.6
2.722,616685.615,-0.00013,0.0012,0.0004,7,4.8,0.6
2.743,616685.635,-0.00013,-0.00093,0.0004,7,4.8,0.6
2.763,616685.656,-0.00013,0.00226,0.0004,7,4.8,0.6
2.781,616685.676,0.00093,0.00013,0.0004,7,4.8,0.6
2.802,616685.696,-0.00013,0.00013,-0.00067,7,4.8,0.6
2.822,616685.716,0.00093,0.00013,-0.00067,7,4.8,0.6
