AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
0.076,2730088.69,0.08491,0.00504,-0.00176,4,3,6
0.077,2730088.709,-0.08674,-0.00412,0.00069,4,3,6
0.078,2730088.728,-0.1912,-0.00901,0.00252,4,3,6
0.083,2730088.747,-0.1631,-0.01512,0.00374,4,3,6
0.083,2730088.766,-0.01466,-0.00901,0.00313,4,3,6
0.095,2730088.785,0.15027,0.00932,8e-05,4,3,6
0.116,2730088.804,0.20891,0.01176,-0.00359,4,3,6
0.134,2730088.823,0.12706,0.00809,-0.0042,4,3,6
0.15,2730088.842,-0.03543,0.00504,-0.00237,4,3,6
0.17,2730088.861,-0.17776,-0.00596,0.00191,4,3,6
0.187,2730088.88,-0.20891,-0.0084,0.00557,4,3,6
0.207,2730088.899,-0.13255,-0.00596,0.00496,4,3,6
0.227,2730088.918,-0.00733,-0.00046,-0.00053,4,3,6
0.246,2730088.937,0.10262,0.00443,-0.0042,4,3,6
0.267,2730088.956,0.14966,0.00748,-0.00237,4,3,6
0.282,2730088.975,0.11606,0.00504,-0.00053,4,3,6
0.302,2730088.995,0.02566,0.00015,-0.00053,4,3,6
0.321,2730089.014,-0.06964,-0.00351,8e-05,4,3,6
0.34,2730089.033,-0.11789,-0.00412,0.0013,4,3,6
0.359,2730089.052,-0.09774,-0.00229,0.00191,4,3,6
0.378,2730089.071,-0.03054,0.00015,0.00069,4,3,6
0.397,2730089.09,0.04704,0.00137,-0.00176,4,3,6
0.416,2730089.109,0.08918,0.00137,-0.00115,4,3,6
0.436,2730089.128,0.08063,0.00199,8e-05,4,3,6
0.455,2730089.147,0.0281,0.00137,8e-05,4,3,6
0.474,2730089.166,-0.03299,0.00015,-0.00053,4,3,6
0.493,2730089.185,-0.07025,-0.00229,-0.00053,4,3,6
0.512,2730089.204,-0.06292,-0.00229,0.0013,4,3,6
0.532,2730089.223,-0.02382,-0.00168,0.0013,4,3,6
0.549,2730089.242,0.02382,0.00076,8e-05,4,3,6
0.569,2730089.261,0.05314,0.0026,-0.00115,4,3,6
0.587,2730089.28,0.04887,0.0026,-0.00115,4,3,6
0.606,2730089.299,0.01771,0.00076,8e-05,4,3,6
0.626,2730089.318,-0.02016,-0.00229,0.00069,4,3,6
0.645,2730089.337,-0.04276,-0.00229,0.00069,4,3,6
0.665,2730089.356,-0.03909,-0.00107,8e-05,4,3,6
0.685,2730089.375,-0.01161,0.00015,8e-05,4,3,6
0.701,2730089.394,0.0171,0.00137,-0.00053,4,3,6
0.721,2730089.413,0.03421,0.00137,-0.00115,4,3,6
0.74,2730089.432,0.02749,0.00015,-0.00115,4,3,6
0.759,2730089.451,0.00794,0.00015,8e-05,4,3,6
0.778,2730089.47,-0.01588,-0.00046,8e-05,4,3,6
0.797,2730089.489,-0.02688,-0.00046,8e-05,4,3,6
0.815,2730089.508,-0.02138,-0.00107,8e-05,4,3,6
0.834,2730089.527,-0.00305,-0.00107,8e-05,4,3,6
0.855,2730089.546,0.01466,0.00015,8e-05,4,3,6
0.873,2730089.565,0.02077,0.00076,8e-05,4,3,6
0.892,2730089.584,0.0171,0.00199,8e-05,4,3,6
0.911,2730089.603,-0.00122,0.00321,-0.00176,4,3,6
0.929,2730089.622,-0.00367,-0.01023,8e-05,4,3,6
0.949,2730089.641,-0.01833,0.01237,8e-05,4,3,6
0.969,2730089.66,-0.01344,-0.01451,0.00069,4,3,6
0.987,2730089.679,-0.00794,0.0087,-0.00053,4,3,6
1.007,2730089.698,0.00733,-0.00473,8e-05,4,3,6
1.025,2730089.717,0.011,0.00199,-0.00053,4,3,6
1.045,2730089.736,0.01222,0.00015,8e-05,4,3,6
1.064,2730089.755,0.00122,0.00137,8e-05,4,3,6
1.083,2730089.774,-0.00672,-0.00107,-0.00053,4,3,6
1.1,2730089.793,-0.00977,0.00015,8e-05,4,3,6
1.121,2730089.812,-0.00611,-0.00046,8e-05,4,3,6
1.14,2730089.831,0.00061,0.00015,8e-05,4,3,6
1.164,2730089.85,0.00489,0.00076,8e-05,4,3,6
1.178,2730089.869,0.00672,0.00076,-0.00053,4,3,6
1.197,2730089.888,0.00305,-0.00107,8e-05,4,3,6
1.216,2730089.908,-0.0,0.00076,0.00069,4,3,6
