AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
1.742,2735684.925,-8e-05,0.00031,0.00031,9,4.8,6
1.76,2735684.944,0.00115,0.00031,-0.00031,9,4.8,6
1.78,2735684.963,-0.00069,-0.00031,-0.00031,9,4.8,6
1.802,2735684.982,-8e-05,0.00031,0.00031,9,4.8,6
1.819,2735685.001,-0.00191,-0.00031,-0.00031,9,4.8,6
1.839,2735685.02,-8e-05,-0.00031,-0.00031,9,4.8,6
1.856,2735685.039,-0.0013,0.00031,-0.00031,9,4.8,6
1.878,2735685.058,-8e-05,0.00031,-0.00031,9,4.8,6
1.893,2735685.077,-0.00069,-0.00031,0.00031,9,4.8,6
1.914,2735685.096,-8e-05,-0.00031,0.00031,9,4.8,6
1.935,2735685.115,-0.00069,0.00031,0.00031,9,4.8,6
1.952,2735685.134,-0.00069,0.00031,-0.00031,9,4.8,6
1.971,2735685.153,-0.00069,0.00031,0.00031,9,4.8,6
1.99,2735685.172,-0.00069,0.00092,-0.00031,9,4.8,6
2.008,2735685.191,-8e-05,-0.00031,-0.00031,9,4.8,6
2.027,2735685.21,-8e-05,0.00031,0.00031,9,4.8,6
2.062,2735685.229,0.00053,0.00031,-0.00031,9,4.8,6
2.067,2735685.248,-0.0013,0.00031,-0.00031,9,4.8,6
2.083,2735685.267,-8e-05,0.00031,0.00031,9,4.8,6
2.103,2735685.286,-0.0013,0.00031,0.00031,9,4.8,6
2.122,2735685.305,-8e-05,0.00031,-0.00031,9,4.8,6
2.141,2735685.324,-0.00069,-0.00031,0.00092,9,4.8,6
2.16,2735685.343,-8e-05,0.00031,0.00092,9,4.8,6
2.179,2735685.362,-0.00069,-0.00031,0.00031,9,4.8,6
2.199,2735685.381,-8e-05,0.00092,0.00092,9,4.8,6
2.217,2735685.4,-8e-05,0.00031,0.00031,9,4.8,6
2.236,2735685.419,-8e-05,-0.00031,0.00031,9,4.8,6
2.255,2735685.438,-0.00069,-0.00031,0.00031,9,4.8,6
2.275,2735685.457,-0.00069,0.00031,0.00031,9,4.8,6
2.292,2735685.476,-0.00069,-0.00031,-0.00031,9,4.8,6
2.313,2735685.495,-8e-05,0.00031,-0.00031,9,4.8,6
2.331,2735685.514,-8e-05,0.00031,-0.00031,9,4.8,6
2.351,2735685.533,-0.00069,0.00092,0.00031,9,4.8,6
2.371,2735685.552,-0.00069,-0.00031,0.00031,9,4.8,6
2.389,2735685.571,-0.00069,-0.00031,0.00031,9,4.8,6
2.408,2735685.59,-8e-05,0.00031,0.00031,9,4.8,6
2.426,2735685.61,-8e-05,0.00031,0.00092,9,4.8,6
2.446,2735685.629,0.00053,0.00031,0.00031,9,4.8,6
2.464,2735685.648,-8e-05,0.00031,0.00031,9,4.8,6
2.487,2735685.667,0.00053,0.00092,0.00031,9,4.8,6
2.503,2735685.686,-8e-05,0.00031,-0.00031,9,4.8,6
2.522,2735685.705,-8e-05,0.00092,-0.00031,9,4.8,6
2.54,2735685.724,-8e-05,0.00031,-0.00031,9,4.8,6
2.559,2735685.743,-8e-05,0.00092,0.00031,9,4.8,6
2.582,2735685.762,-0.0013,0.00092,0.00031,9,4.8,6
2.601,2735685.781,-0.00069,0.00031,0.00031,9,4.8,6
2.616,2735685.8,-8e-05,0.00031,-0.00031,9,4.8,6
2.638,2735685.819,-0.0013,0.00031,-0.00031,9,4.8,6
2.655,2735685.838,-8e-05,0.00031,-0.00031,9,4.8,6
2.676,2735685.857,-0.00069,0.00031,0.00031,9,4.8,6
2.693,2735685.876,-8e-05,0.00031,0.00031,9,4.8,6
2.714,2735685.895,-0.0013,0.00092,0.00031,9,4.8,6
2.731,2735685.914,0.00053,0.00031,0.00031,9,4.8,6
2.75,2735685.933,-0.00069,0.00031,0.00031,9,4.8,6
2.773,2735685.952,0.00053,0.00031,0.00031,9,4.8,6
2.791,2735685.971,-0.00069,0.00031,0.00092,9,4.8,6
2.811,2735685.99,0.00053,0.00031,0.00092,9,4.8,6
2.826,2735686.009,-8e-05,0.00031,0.00031,9,4.8,6
2.846,2735686.028,-8e-05,0.00031,0.00031,9,4.8,6
2.865,2735686.047,-0.00069,0.00031,-0.00031,9,4.8,6
2.884,2735686.066,-8e-05,0.00031,0.00031,9,4.8,6
2.903,2735686.085,-8e-05,0.00031,0.00031,9,4.8,6
2.921,2735686.104,-8e-05,-0.00031,-0.00031,9,4.8,6
2.941,2735686.123,-8e-05,-0.00031,-0.00031,9,4.8,6
2.96,2735686.142,-0.00069,-0.00031,-0.00031,9,4.8,6
2.978,2735686.161,0.00053,0.00031,-0.00031,9,4.8,6
2.997,2735686.18,-8e-05,-0.00031,0.00031,9,4.8,6
3.015,2735686.199,-8e-05,-0.00031,-0.00031,9,4.8,6
3.036,2735686.218,-0.00069,-0.00031,-0.00031,9,4.8,6
3.055,2735686.237,0.00023,-8e-05,0.00015,9,4.8,6
3.074,2735686.256,-0.00099,-0.00069,0.00015,9,4.8,6
3.091,2735686.275,0.00076,-8e-05,-0.00046,9,4.8,6
3.111,2735686.294,-0.00046,-0.00069,0.00015,9,4.8,6
3.13,2735686.313,0.00015,-8e-05,-0.00046,9,4.8,6
3.149,2735686.332,0.00015,-0.00069,0.00015,9,4.8,6
3.169,2735686.351,0.00015,-0.0,0.00015,9,4.8,6
3.188,2735686.37,-0.00046,-0.0,0.00015,9,4.8,6
3.207,2735686.389,-0.00046,-0.0,0.00015,9,4.8,6
