AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
0.069,2724731.454,0.1902,0.00374,-0.00649,1,0,5.4
0.071,2724731.473,0.13278,-0.00481,-0.00527,1,0,5.4
0.072,2724731.492,0.03077,-0.00786,-0.00344,1,0,5.4
0.076,2724731.511,-0.04375,-0.00298,-0.0016,1,0,5.4
0.077,2724731.53,-0.06819,-0.00481,-0.00221,1,0,5.4
0.09,2724731.549,-0.05108,-0.01153,-0.00466,1,0,5.4
0.111,2724731.568,-0.00771,0.00374,-0.00649,1,0,5.4
0.126,2724731.587,0.02772,0.0013,-0.00588,1,0,5.4
0.144,2724731.606,0.03444,0.00313,-0.00527,1,0,5.4
0.163,2724731.625,0.021,0.0013,-0.00405,1,0,5.4
0.182,2724731.644,0.00206,0.00985,-0.00527,1,0,5.4
0.201,2724731.663,-0.00893,0.00496,-0.00466,1,0,5.4
0.22,2724731.682,-0.01749,0.02023,-0.00344,1,0,5.4
0.24,2724731.701,-0.04803,0.02573,-0.00221,1,0,5.4
0.258,2724731.72,-0.11461,0.02634,-0.00038,1,0,5.4
0.278,2724731.739,-0.17081,0.02268,0.00328,1,0,5.4
0.298,2724731.758,-0.18913,0.02634,0.00512,1,0,5.4
0.317,2724731.778,-0.16714,0.01901,0.00267,1,0,5.4
0.336,2724731.797,-0.10423,0.01901,0.00023,1,0,5.4
0.355,2724731.816,-0.02726,0.01413,0.00023,1,0,5.4
0.375,2724731.835,0.04116,0.00313,0.00084,1,0,5.4
0.392,2724731.854,0.08269,-0.0097,-0.0016,1,0,5.4
0.413,2724731.873,0.09796,-0.00603,-0.00221,1,0,5.4
0.43,2724731.892,0.07781,-0.00053,-0.00283,1,0,5.4
0.449,2724731.911,0.0326,0.00191,-0.0016,1,0,5.4
0.468,2724731.93,-0.02604,0.01168,0.00023,1,0,5.4
0.488,2724731.949,-0.07552,0.00802,0.00084,1,0,5.4
0.506,2724731.968,-0.0969,0.00924,0.00084,1,0,5.4
0.527,2724731.987,-0.08407,0.00802,0.00084,1,0,5.4
0.544,2724732.006,-0.0462,0.00557,0.00084,1,0,5.4
0.562,2724732.025,0.00084,0.00191,0.00023,1,0,5.4
0.582,2724732.044,0.04238,-0.00176,-0.00099,1,0,5.4
