AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.223,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
1.223,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
1.223,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
1.223,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
1.223,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
1.223,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
1.223,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
1.223,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
3.222,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
3.222,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
3.222,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
3.222,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
3.222,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
3.222,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
3.222,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
3.222,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
5.228,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
5.228,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
5.228,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
5.228,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
5.228,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
5.228,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
5.228,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
5.228,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
7.223,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
7.223,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
7.223,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
7.223,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
7.223,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
7.223,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
7.223,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
7.223,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
9.217,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
9.217,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
9.217,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
9.217,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
9.217,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
9.217,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
9.217,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
9.217,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
11.226,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
11.226,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
11.226,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
11.226,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
11.226,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
11.226,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
11.226,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
11.226,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
13.223,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
13.223,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
13.223,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
13.223,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
13.223,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
13.223,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
13.223,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
13.223,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
15.224,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
15.224,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
15.224,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
15.224,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
15.224,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
15.224,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
15.224,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
15.224,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
17.215,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
17.215,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
17.215,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
17.215,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
17.215,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
17.215,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
17.215,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
17.215,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
19.224,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
19.224,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
19.224,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
19.224,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
19.224,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
19.224,686462.108,UJI,de:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
19.224,686466.084,eduroam,04:18:d6:81:26:e8,-60.0,8.0,4.8,3.6
19.224,686463.166,eduroam,dc:9f:db:1b:91:6a,-86.0,8.0,4.8,3.6
21.223,686462.105,eduroam,dc:9f:db:1c:63:ed,-63.0,8.0,4.8,3.6
21.223,686463.097,UJI,de:9f:db:1b:63:ed,-79.0,8.0,4.8,3.6
21.223,686462.351,GEOTECWIFI03,f8:1a:67:37:05:b8,-58.0,8.0,4.8,3.6
21.223,686461.482,eduroam,04:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
21.223,686461.483,UJI,06:18:d6:82:26:e8,-55.0,8.0,4.8,3.6
