AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
0.647,345115.203,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-80.0,17.0,9.6,4.8
0.647,345115.843,eduroam,dc:9f:db:1c:63:ed,-78.0,17.0,9.6,4.8
0.647,345116.209,UJI,de:9f:db:1b:63:ed,-90.0,17.0,9.6,4.8
0.647,345115.445,GEOTECWIFI03,f8:1a:67:37:05:b8,-64.0,17.0,9.6,4.8
0.647,345115.845,eduroam,04:18:d6:82:26:e8,-61.0,17.0,9.6,4.8
0.647,345116.292,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
0.647,345115.846,UJI,06:18:d6:82:26:e8,-61.0,17.0,9.6,4.8
0.647,345115.828,UJI,de:9f:db:1c:63:ed,-79.0,17.0,9.6,4.8
0.647,345117.765,480Invitados,34:3a:20:a6:d6:92,-90.0,17.0,9.6,4.8
0.647,345117.765,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
0.647,345119.454,eduroam,04:18:d6:81:26:e8,-62.0,17.0,9.6,4.8
0.647,345116.289,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
2.636,345115.203,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-80.0,17.0,9.6,4.8
2.636,345115.843,eduroam,dc:9f:db:1c:63:ed,-78.0,17.0,9.6,4.8
2.636,345116.209,UJI,de:9f:db:1b:63:ed,-90.0,17.0,9.6,4.8
2.636,345115.445,GEOTECWIFI03,f8:1a:67:37:05:b8,-64.0,17.0,9.6,4.8
2.636,345115.845,eduroam,04:18:d6:82:26:e8,-61.0,17.0,9.6,4.8
2.636,345116.292,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
2.636,345115.846,UJI,06:18:d6:82:26:e8,-61.0,17.0,9.6,4.8
2.636,345115.828,UJI,de:9f:db:1c:63:ed,-79.0,17.0,9.6,4.8
2.636,345117.765,480Invitados,34:3a:20:a6:d6:92,-90.0,17.0,9.6,4.8
2.636,345117.765,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
2.636,345119.454,eduroam,04:18:d6:81:26:e8,-62.0,17.0,9.6,4.8
2.636,345116.289,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
3.811,345133.053,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-88.0,17.0,9.6,4.8
3.811,345133.675,eduroam,dc:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
3.811,345132.433,eduroam,dc:9f:db:1c:91:6a,-80.0,17.0,9.6,4.8
3.811,345134.027,UJI,de:9f:db:1b:63:ed,-82.0,17.0,9.6,4.8
3.811,345133.306,GEOTECWIFI03,f8:1a:67:37:05:b8,-66.0,17.0,9.6,4.8
3.811,345133.667,eduroam,04:18:d6:82:26:e8,-64.0,17.0,9.6,4.8
3.811,345134.111,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
3.811,345133.668,UJI,06:18:d6:82:26:e8,-63.0,17.0,9.6,4.8
3.811,345133.675,UJI,de:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
3.811,345134.792,,34:3a:20:a6:f5:31,-90.0,17.0,9.6,4.8
3.811,345134.792,cuatroochenta,34:3a:20:a6:f5:33,-91.0,17.0,9.6,4.8
3.811,345134.792,480Invitados,34:3a:20:a6:f5:32,-89.0,17.0,9.6,4.8
3.811,345135.378,480Invitados,34:3a:20:a6:d6:92,-88.0,17.0,9.6,4.8
3.811,345135.378,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
3.811,345135.378,cuatroochenta,34:3a:20:a6:d6:93,-91.0,17.0,9.6,4.8
3.811,345132.436,UJI,de:9f:db:1c:91:6a,-81.0,17.0,9.6,4.8
3.811,345136.963,eduroam,04:18:d6:81:26:e8,-65.0,17.0,9.6,4.8
3.811,345134.111,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
4.638,345133.053,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-88.0,17.0,9.6,4.8
4.638,345133.675,eduroam,dc:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
4.638,345132.433,eduroam,dc:9f:db:1c:91:6a,-80.0,17.0,9.6,4.8
4.638,345134.027,UJI,de:9f:db:1b:63:ed,-82.0,17.0,9.6,4.8
4.638,345133.306,GEOTECWIFI03,f8:1a:67:37:05:b8,-66.0,17.0,9.6,4.8
4.638,345133.667,eduroam,04:18:d6:82:26:e8,-64.0,17.0,9.6,4.8
4.638,345134.111,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
4.638,345133.668,UJI,06:18:d6:82:26:e8,-63.0,17.0,9.6,4.8
4.638,345133.675,UJI,de:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
4.638,345134.792,,34:3a:20:a6:f5:31,-90.0,17.0,9.6,4.8
4.638,345134.792,cuatroochenta,34:3a:20:a6:f5:33,-91.0,17.0,9.6,4.8
4.638,345134.792,480Invitados,34:3a:20:a6:f5:32,-89.0,17.0,9.6,4.8
4.638,345135.378,480Invitados,34:3a:20:a6:d6:92,-88.0,17.0,9.6,4.8
4.638,345135.378,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
4.638,345135.378,cuatroochenta,34:3a:20:a6:d6:93,-91.0,17.0,9.6,4.8
4.638,345132.436,UJI,de:9f:db:1c:91:6a,-81.0,17.0,9.6,4.8
4.638,345136.963,eduroam,04:18:d6:81:26:e8,-65.0,17.0,9.6,4.8
4.638,345134.111,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
6.649,345133.053,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-88.0,17.0,9.6,4.8
6.649,345133.675,eduroam,dc:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
6.649,345132.433,eduroam,dc:9f:db:1c:91:6a,-80.0,17.0,9.6,4.8
6.649,345134.027,UJI,de:9f:db:1b:63:ed,-82.0,17.0,9.6,4.8
6.649,345133.306,GEOTECWIFI03,f8:1a:67:37:05:b8,-66.0,17.0,9.6,4.8
6.649,345133.667,eduroam,04:18:d6:82:26:e8,-64.0,17.0,9.6,4.8
6.649,345134.111,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
6.649,345133.668,UJI,06:18:d6:82:26:e8,-63.0,17.0,9.6,4.8
6.649,345133.675,UJI,de:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
6.649,345134.792,,34:3a:20:a6:f5:31,-90.0,17.0,9.6,4.8
6.649,345134.792,cuatroochenta,34:3a:20:a6:f5:33,-91.0,17.0,9.6,4.8
6.649,345134.792,480Invitados,34:3a:20:a6:f5:32,-89.0,17.0,9.6,4.8
6.649,345135.378,480Invitados,34:3a:20:a6:d6:92,-88.0,17.0,9.6,4.8
6.649,345135.378,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
6.649,345135.378,cuatroochenta,34:3a:20:a6:d6:93,-91.0,17.0,9.6,4.8
6.649,345132.436,UJI,de:9f:db:1c:91:6a,-81.0,17.0,9.6,4.8
6.649,345136.963,eduroam,04:18:d6:81:26:e8,-65.0,17.0,9.6,4.8
6.649,345134.111,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
8.656,345133.053,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-88.0,17.0,9.6,4.8
8.656,345133.675,eduroam,dc:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
8.656,345132.433,eduroam,dc:9f:db:1c:91:6a,-80.0,17.0,9.6,4.8
