AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
4.724,348646.919,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,18.0,9.6,8.4
4.724,348645.42,eduroam,dc:9f:db:1c:63:ed,-72.0,18.0,9.6,8.4
4.724,348644.077,eduroam,dc:9f:db:1c:91:6a,-81.0,18.0,9.6,8.4
4.724,348645.788,UJI,de:9f:db:1b:63:ed,-87.0,18.0,9.6,8.4
4.724,348645.002,GEOTECWIFI03,f8:1a:67:37:05:b8,-75.0,18.0,9.6,8.4
4.724,348645.417,eduroam,04:18:d6:82:26:e8,-64.0,18.0,9.6,8.4
4.724,348645.868,UJI,de:9f:db:1b:91:6a,-83.0,18.0,9.6,8.4
4.724,348645.418,UJI,06:18:d6:82:26:e8,-66.0,18.0,9.6,8.4
4.724,348645.421,UJI,de:9f:db:1c:63:ed,-72.0,18.0,9.6,8.4
4.724,348647.202,480Invitados,34:3a:20:a6:d6:92,-90.0,18.0,9.6,8.4
4.724,348647.202,,34:3a:20:a6:d6:91,-91.0,18.0,9.6,8.4
4.724,348645.389,UJI,02:27:22:0b:36:42,-88.0,18.0,9.6,8.4
4.724,348644.08,UJI,de:9f:db:1c:91:6a,-83.0,18.0,9.6,8.4
4.724,348648.924,eduroam,04:18:d6:81:26:e8,-67.0,18.0,9.6,8.4
7.239,348646.919,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,18.0,9.6,8.4
7.239,348645.42,eduroam,dc:9f:db:1c:63:ed,-72.0,18.0,9.6,8.4
7.239,348644.077,eduroam,dc:9f:db:1c:91:6a,-81.0,18.0,9.6,8.4
7.239,348645.788,UJI,de:9f:db:1b:63:ed,-87.0,18.0,9.6,8.4
7.239,348645.002,GEOTECWIFI03,f8:1a:67:37:05:b8,-75.0,18.0,9.6,8.4
7.239,348645.417,eduroam,04:18:d6:82:26:e8,-64.0,18.0,9.6,8.4
7.239,348645.868,UJI,de:9f:db:1b:91:6a,-83.0,18.0,9.6,8.4
7.239,348645.418,UJI,06:18:d6:82:26:e8,-66.0,18.0,9.6,8.4
7.239,348645.421,UJI,de:9f:db:1c:63:ed,-72.0,18.0,9.6,8.4
7.239,348647.202,480Invitados,34:3a:20:a6:d6:92,-90.0,18.0,9.6,8.4
7.239,348647.202,,34:3a:20:a6:d6:91,-91.0,18.0,9.6,8.4
7.239,348645.389,UJI,02:27:22:0b:36:42,-88.0,18.0,9.6,8.4
7.239,348644.08,UJI,de:9f:db:1c:91:6a,-83.0,18.0,9.6,8.4
7.239,348648.924,eduroam,04:18:d6:81:26:e8,-67.0,18.0,9.6,8.4
9.235,348646.919,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,18.0,9.6,8.4
9.235,348645.42,eduroam,dc:9f:db:1c:63:ed,-72.0,18.0,9.6,8.4
9.235,348644.077,eduroam,dc:9f:db:1c:91:6a,-81.0,18.0,9.6,8.4
9.235,348645.788,UJI,de:9f:db:1b:63:ed,-87.0,18.0,9.6,8.4
