AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.311,265378.9,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
1.311,265380.496,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
1.311,265380.124,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
1.311,265380.562,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
1.311,265380.126,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
1.311,265378.905,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
1.311,265383.479,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
1.311,265380.562,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
3.305,265378.9,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
3.305,265380.496,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
3.305,265380.124,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
3.305,265380.562,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
3.305,265380.126,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
3.305,265378.905,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
3.305,265383.479,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
3.305,265380.562,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
5.304,265378.9,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
5.304,265380.496,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
5.304,265380.124,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
5.304,265380.562,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
5.304,265380.126,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
5.304,265378.905,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
5.304,265383.479,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
5.304,265380.562,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
7.311,265378.9,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
7.311,265380.496,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
7.311,265380.124,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
7.311,265380.562,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
7.311,265380.126,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
7.311,265378.905,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
7.311,265383.479,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
7.311,265380.562,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
9.306,265378.9,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
9.306,265380.496,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
9.306,265380.124,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
9.306,265380.562,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
9.306,265380.126,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
9.306,265378.905,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
9.306,265383.479,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
9.306,265380.562,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
11.31,265378.9,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
11.31,265380.496,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
11.31,265380.124,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
11.31,265380.562,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
