AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
0.689,604261.652,TP-Link_CA63,9c:a2:f4:49:ca:63,-86.0,21.0,14.4,3.0
0.689,604261.287,eduroam,dc:9f:db:1c:91:6a,-70.0,21.0,14.4,3.0
0.689,604262.872,UJI,de:9f:db:1b:63:ed,-84.0,21.0,14.4,3.0
0.689,604261.284,eduroam,04:18:d6:82:26:e8,-61.0,21.0,14.4,3.0
0.689,604262.948,UJI,de:9f:db:1b:91:6a,-72.0,21.0,14.4,3.0
0.689,604264.326,,58:d9:d5:82:52:e4,-88.0,21.0,14.4,3.0
0.689,604261.294,UJI,06:18:d6:82:26:e8,-67.0,21.0,14.4,3.0
0.689,604262.512,lt1iot,58:d9:d5:46:90:99,-79.0,21.0,14.4,3.0
0.689,604265.801,eduroam,04:18:d6:81:26:e8,-61.0,21.0,14.4,3.0
0.689,604262.948,eduroam,dc:9f:db:1b:91:6a,-87.0,21.0,14.4,3.0
0.689,604262.874,LucasEsGay,30:de:4b:61:45:9a,-91.0,21.0,14.4,3.0
1.46,604261.652,TP-Link_CA63,9c:a2:f4:49:ca:63,-86.0,21.0,14.4,3.0
1.46,604261.287,eduroam,dc:9f:db:1c:91:6a,-70.0,21.0,14.4,3.0
1.46,604262.872,UJI,de:9f:db:1b:63:ed,-84.0,21.0,14.4,3.0
1.46,604261.284,eduroam,04:18:d6:82:26:e8,-61.0,21.0,14.4,3.0
1.46,604262.948,UJI,de:9f:db:1b:91:6a,-72.0,21.0,14.4,3.0
1.46,604264.326,,58:d9:d5:82:52:e4,-88.0,21.0,14.4,3.0
1.46,604261.294,UJI,06:18:d6:82:26:e8,-67.0,21.0,14.4,3.0
1.46,604262.512,lt1iot,58:d9:d5:46:90:99,-79.0,21.0,14.4,3.0
1.46,604265.801,eduroam,04:18:d6:81:26:e8,-61.0,21.0,14.4,3.0
1.46,604262.948,eduroam,dc:9f:db:1b:91:6a,-87.0,21.0,14.4,3.0
1.46,604262.874,LucasEsGay,30:de:4b:61:45:9a,-91.0,21.0,14.4,3.0
3.484,604261.652,TP-Link_CA63,9c:a2:f4:49:ca:63,-86.0,21.0,14.4,3.0
