AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
1.704,2735684.892,-0.00927,-0.31286,9.87967,9,4.8,6
1.723,2735684.911,-0.00927,-0.31525,9.88445,9,4.8,6
1.742,2735684.93,-0.01406,-0.31525,9.87249,9,4.8,6
1.761,2735684.949,-0.01406,-0.31765,9.88445,9,4.8,6
1.781,2735684.968,-0.00927,-0.30808,9.87727,9,4.8,6
1.803,2735684.987,-0.01884,-0.30568,9.87727,9,4.8,6
1.819,2735685.006,-0.02124,-0.31765,9.87727,9,4.8,6
1.839,2735685.025,-0.01406,-0.32243,9.88445,9,4.8,6
1.856,2735685.044,-0.00209,-0.32961,9.88206,9,4.8,6
1.877,2735685.063,0.0003,-0.31765,9.88445,9,4.8,6
1.893,2735685.082,-0.01884,-0.32243,9.87967,9,4.8,6
1.913,2735685.101,-0.02124,-0.32243,9.88206,9,4.8,6
1.936,2735685.12,-0.01406,-0.32004,9.87967,9,4.8,6
1.952,2735685.139,-0.00927,-0.31286,9.88206,9,4.8,6
1.971,2735685.158,-0.00209,-0.32004,9.88206,9,4.8,6
1.99,2735685.177,-0.01406,-0.30329,9.87727,9,4.8,6
2.008,2735685.196,-0.02363,-0.3009,9.88445,9,4.8,6
2.028,2735685.215,-0.01884,-0.31286,9.87727,9,4.8,6
2.062,2735685.234,-0.02363,-0.31047,9.87488,9,4.8,6
2.067,2735685.253,-0.01406,-0.32243,9.88445,9,4.8,6
2.083,2735685.272,-0.01167,-0.31525,9.89163,9,4.8,6
2.104,2735685.291,-0.01645,-0.31525,9.87727,9,4.8,6
2.123,2735685.31,-0.02363,-0.31286,9.87727,9,4.8,6
2.14,2735685.329,-0.01406,-0.32483,9.87488,9,4.8,6
2.16,2735685.348,-0.00449,-0.32243,9.87488,9,4.8,6
2.179,2735685.367,-0.01645,-0.31047,9.87967,9,4.8,6
2.198,2735685.386,-0.01884,-0.32004,9.88924,9,4.8,6
2.217,2735685.405,-0.01406,-0.31047,9.87009,9,4.8,6
2.235,2735685.424,-0.02124,-0.30568,9.88445,9,4.8,6
2.256,2735685.443,-0.01406,-0.32483,9.87727,9,4.8,6
2.275,2735685.462,-0.01167,-0.31525,9.88445,9,4.8,6
2.293,2735685.481,-0.01884,-0.30808,9.87967,9,4.8,6
2.313,2735685.5,-0.01167,-0.30808,9.88206,9,4.8,6
2.331,2735685.519,-0.01645,-0.30808,9.88445,9,4.8,6
2.351,2735685.538,-0.01645,-0.30568,9.87488,9,4.8,6
2.37,2735685.557,-0.00927,-0.31047,9.88445,9,4.8,6
2.39,2735685.576,-0.00688,-0.30808,9.88924,9,4.8,6
2.407,2735685.595,-0.01406,-0.32243,9.87727,9,4.8,6
2.426,2735685.615,-0.01406,-0.31525,9.87488,9,4.8,6
2.445,2735685.634,-0.01167,-0.31765,9.87009,9,4.8,6
2.464,2735685.653,-0.02124,-0.32243,9.88684,9,4.8,6
2.487,2735685.672,-0.01406,-0.32004,9.87488,9,4.8,6
2.504,2735685.691,-0.00209,-0.32483,9.88206,9,4.8,6
2.522,2735685.71,-0.01167,-0.31765,9.87249,9,4.8,6
2.54,2735685.729,-0.02363,-0.30808,9.88445,9,4.8,6
2.559,2735685.748,-0.02363,-0.31765,9.88206,9,4.8,6
2.583,2735685.767,-0.03081,-0.31525,9.88206,9,4.8,6
2.601,2735685.786,-0.01167,-0.31525,9.88445,9,4.8,6
2.617,2735685.805,-0.01406,-0.31286,9.87488,9,4.8,6
