AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
0.74,608986.226,480Invitados,34:3a:20:a6:f5:22,-83.0,22.0,14.4,0.0
0.74,608985.587,eduroam,78:8a:20:57:70:59,-84.0,22.0,14.4,0.0
0.74,608986.226,cuatroochenta,34:3a:20:a6:f5:23,-84.0,22.0,14.4,0.0
0.74,608984.958,eduroam,dc:9f:db:1c:91:6a,-72.0,22.0,14.4,0.0
0.74,608985.837,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,22.0,14.4,0.0
0.74,608984.955,eduroam,04:18:d6:82:26:e8,-72.0,22.0,14.4,0.0
0.74,608986.71,UJI,de:9f:db:1b:91:6a,-72.0,22.0,14.4,0.0
0.74,608986.835,UJI,06:18:d6:81:26:e8,-57.0,22.0,14.4,0.0
0.74,608984.956,UJI,06:18:d6:82:26:e8,-68.0,22.0,14.4,0.0
0.74,608984.963,UJI,de:9f:db:1c:91:6a,-73.0,22.0,14.4,0.0
0.74,608990.055,eduroam,04:18:d6:81:26:e8,-59.0,22.0,14.4,0.0
0.74,608985.713,ElTelar,cc:32:e5:fd:5e:d0,-82.0,22.0,14.4,0.0
0.74,608986.707,eduroam,dc:9f:db:1b:91:6a,-72.0,22.0,14.4,0.0
0.74,608986.933,TP_Link_FB36,9c:53:22:ce:fb:38,-92.0,22.0,14.4,0.0
2.74,608986.226,480Invitados,34:3a:20:a6:f5:22,-83.0,22.0,14.4,0.0
2.74,608985.587,eduroam,78:8a:20:57:70:59,-84.0,22.0,14.4,0.0
2.74,608986.226,cuatroochenta,34:3a:20:a6:f5:23,-84.0,22.0,14.4,0.0
2.74,608984.958,eduroam,dc:9f:db:1c:91:6a,-72.0,22.0,14.4,0.0
2.74,608985.837,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,22.0,14.4,0.0
2.74,608984.955,eduroam,04:18:d6:82:26:e8,-72.0,22.0,14.4,0.0
2.74,608986.71,UJI,de:9f:db:1b:91:6a,-72.0,22.0,14.4,0.0
2.74,608986.835,UJI,06:18:d6:81:26:e8,-57.0,22.0,14.4,0.0
2.74,608984.956,UJI,06:18:d6:82:26:e8,-68.0,22.0,14.4,0.0
2.74,608984.963,UJI,de:9f:db:1c:91:6a,-73.0,22.0,14.4,0.0
2.74,608990.055,eduroam,04:18:d6:81:26:e8,-59.0,22.0,14.4,0.0
2.74,608985.713,ElTelar,cc:32:e5:fd:5e:d0,-82.0,22.0,14.4,0.0
2.74,608986.707,eduroam,dc:9f:db:1b:91:6a,-72.0,22.0,14.4,0.0
2.74,608986.933,TP_Link_FB36,9c:53:22:ce:fb:38,-92.0,22.0,14.4,0.0
2.771,609018.78,TP-Link_CA63,9c:a2:f4:49:ca:63,-85.0,22.0,14.4,0.0
2.771,609019.687,480Invitados,34:3a:20:a6:f5:22,-77.0,22.0,14.4,0.0
