AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.721,341165.733,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-93.0,16.0,9.6,3.0
1.721,341162.44,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-89.0,16.0,9.6,3.0
1.721,341163.421,UJI,de:9f:db:1b:63:ed,-79.0,16.0,9.6,3.0
1.721,341161.836,eduroam,dc:9f:db:1c:91:6a,-87.0,16.0,9.6,3.0
1.721,341163.067,eduroam,04:18:d6:82:26:e8,-65.0,16.0,9.6,3.0
1.721,341163.502,UJI,de:9f:db:1b:91:6a,-86.0,16.0,9.6,3.0
1.721,341163.068,UJI,06:18:d6:82:26:e8,-65.0,16.0,9.6,3.0
1.721,341164.9,480Invitados,34:3a:20:a6:d6:92,-91.0,16.0,9.6,3.0
1.721,341164.899,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
1.721,341166.563,eduroam,04:18:d6:81:26:e8,-53.0,16.0,9.6,3.0
1.721,341162.449,MartinRouterking,36:ae:cb:e0:ff:b7,-85.0,16.0,9.6,3.0
3.716,341165.733,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-93.0,16.0,9.6,3.0
3.716,341162.44,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-89.0,16.0,9.6,3.0
3.716,341163.421,UJI,de:9f:db:1b:63:ed,-79.0,16.0,9.6,3.0
3.716,341161.836,eduroam,dc:9f:db:1c:91:6a,-87.0,16.0,9.6,3.0
3.716,341163.067,eduroam,04:18:d6:82:26:e8,-65.0,16.0,9.6,3.0
3.716,341163.502,UJI,de:9f:db:1b:91:6a,-86.0,16.0,9.6,3.0
3.716,341163.068,UJI,06:18:d6:82:26:e8,-65.0,16.0,9.6,3.0
3.716,341164.9,480Invitados,34:3a:20:a6:d6:92,-91.0,16.0,9.6,3.0
3.716,341164.899,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
3.716,341166.563,eduroam,04:18:d6:81:26:e8,-53.0,16.0,9.6,3.0
3.716,341162.449,MartinRouterking,36:ae:cb:e0:ff:b7,-85.0,16.0,9.6,3.0
5.099,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
5.099,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
5.099,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
5.099,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
5.099,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
5.099,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
5.099,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
5.099,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
5.099,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
5.099,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
5.099,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
5.099,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
5.099,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
5.72,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
5.72,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
5.72,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
5.72,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
5.72,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
5.72,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
5.72,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
5.72,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
5.72,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
5.72,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
5.72,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
5.72,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
5.72,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
7.719,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
7.719,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
7.719,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
7.719,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
7.719,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
7.719,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
7.719,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
7.719,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
7.719,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
7.719,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
7.719,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
7.719,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
7.719,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
9.719,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
9.719,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
9.719,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
9.719,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
9.719,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
9.719,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
9.719,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
9.719,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
9.719,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
9.719,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
9.719,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
9.719,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
9.719,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
11.715,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
11.715,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
11.715,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
11.715,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
11.715,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
11.715,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
11.715,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
11.715,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
11.715,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
11.715,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
11.715,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
11.715,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
11.715,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
13.726,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
13.726,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
13.726,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
13.726,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
13.726,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
13.726,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
13.726,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
13.726,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
13.726,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
13.726,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
13.726,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
13.726,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
13.726,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
15.724,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
15.724,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
15.724,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
15.724,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
15.724,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
15.724,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
15.724,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
15.724,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
15.724,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
15.724,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
15.724,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
15.724,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
15.724,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
17.726,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
17.726,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
17.726,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
17.726,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
17.726,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
17.726,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
17.726,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
17.726,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
17.726,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
17.726,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
17.726,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
17.726,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
17.726,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
19.728,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
19.728,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
19.728,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
19.728,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
19.728,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
19.728,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
19.728,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
19.728,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
19.728,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
19.728,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
19.728,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
19.728,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
19.728,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
21.729,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
21.729,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
21.729,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
21.729,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
21.729,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
21.729,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
21.729,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
21.729,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
21.729,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
21.729,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
21.729,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
21.729,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
21.729,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
23.765,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
23.765,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
23.765,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
23.765,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
23.765,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
23.765,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
23.765,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
23.765,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
23.765,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
23.765,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
23.765,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
23.765,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
23.765,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
25.725,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
25.725,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
25.725,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
25.725,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
25.725,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
25.725,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
25.725,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
25.725,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
25.725,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
25.725,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
25.725,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
25.725,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
25.725,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
27.729,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
27.729,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
27.729,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
27.729,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
27.729,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
27.729,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
27.729,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
27.729,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
27.729,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
27.729,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
27.729,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
27.729,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
27.729,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
29.728,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
29.728,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
29.728,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
29.728,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
29.728,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
29.728,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
29.728,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
29.728,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
29.728,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
29.728,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
29.728,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
29.728,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
29.728,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
31.72,341213.663,cirtesu_5G,fc:34:97:0c:07:ac,-92.0,16.0,9.6,3.0
31.72,341210.933,eduroam,dc:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
31.72,341212.555,UJI,de:9f:db:1b:63:ed,-87.0,16.0,9.6,3.0
31.72,341212.185,eduroam,04:18:d6:82:26:e8,-59.0,16.0,9.6,3.0
31.72,341212.623,UJI,de:9f:db:1b:91:6a,-77.0,16.0,9.6,3.0
31.72,341212.692,UJI,06:18:d6:81:26:e8,-66.0,16.0,9.6,3.0
31.72,341212.187,UJI,06:18:d6:82:26:e8,-61.0,16.0,9.6,3.0
31.72,341213.95,480Invitados,34:3a:20:a6:d6:92,-89.0,16.0,9.6,3.0
31.72,341213.949,,34:3a:20:a6:d6:91,-91.0,16.0,9.6,3.0
31.72,341213.95,cuatroochenta,34:3a:20:a6:d6:93,-91.0,16.0,9.6,3.0
31.72,341210.938,UJI,de:9f:db:1c:91:6a,-76.0,16.0,9.6,3.0
31.72,341215.612,eduroam,04:18:d6:81:26:e8,-65.0,16.0,9.6,3.0
31.72,341212.623,eduroam,dc:9f:db:1b:91:6a,-78.0,16.0,9.6,3.0
