AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.146,2730024.781,eduroam,04:18:d6:82:26:e8,-62.0,4.0,3.0,6.0
1.146,2730024.766,UJI,06:18:d6:82:26:e8,-63.0,4.0,3.0,6.0
1.146,2730027.998,eduroam,04:18:d6:81:26:e8,-65.0,4.0,3.0,6.0
1.146,2730024.362,UJI,06:18:d6:81:26:e8,-67.0,4.0,3.0,6.0
1.146,2730024.104,UJI,de:9f:db:1b:63:ed,-70.0,4.0,3.0,6.0
1.146,2730024.106,GEOTECWIFI03,f8:1a:67:37:05:b8,-70.0,4.0,3.0,6.0
1.146,2730024.139,eduroam,dc:9f:db:1b:63:ed,-71.0,4.0,3.0,6.0
1.146,2730024.748,UJI,de:9f:db:1c:63:ed,-73.0,4.0,3.0,6.0
1.146,2730024.537,eduroam,dc:9f:db:1b:91:6a,-83.0,4.0,3.0,6.0
1.146,2730024.588,UJI,de:9f:db:1b:91:6a,-83.0,4.0,3.0,6.0
1.146,2730024.776,UJI,02:27:22:0b:c7:8f,-83.0,4.0,3.0,6.0
1.146,2730024.995,MOVISTAR_PLUS_E95D,cc:d4:a1:8a:e9:5e,-84.0,4.0,3.0,6.0
1.146,2730024.384,wpen-uji,4c:5e:0c:d6:e1:a4,-86.0,4.0,3.0,6.0
1.146,2730025.048,,34:3a:20:a6:f5:31,-86.0,4.0,3.0,6.0
1.146,2730025.048,480Invitados,34:3a:20:a6:f5:32,-87.0,4.0,3.0,6.0
1.146,2730023.779,UJI,26:a4:3c:a3:21:73,-88.0,4.0,3.0,6.0
1.146,2730025.72,,58:d9:d5:82:52:e4,-89.0,4.0,3.0,6.0
1.146,2730026.441,guifi.net-CS-UJI-Bibl.AP3-317,00:0c:42:3a:55:0e,-89.0,4.0,3.0,6.0
1.146,2730026.797,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-91.0,4.0,3.0,6.0
2.602,2730091.18,eduroam,04:18:d6:81:26:e8,-65.0,4.0,3.0,6.0
2.602,2730087.99,GEOTECWIFI03,f8:1a:67:37:05:b8,-67.0,4.0,3.0,6.0
2.602,2730088.711,UJI,06:18:d6:82:26:e8,-69.0,4.0,3.0,6.0
2.602,2730088.71,eduroam,04:18:d6:82:26:e8,-70.0,4.0,3.0,6.0
2.602,2730088.056,UJI,06:18:d6:81:26:e8,-75.0,4.0,3.0,6.0
2.602,2730088.751,UJI,de:9f:db:1c:63:ed,-77.0,4.0,3.0,6.0
2.602,2730087.797,UJI,de:9f:db:1b:63:ed,-81.0,4.0,3.0,6.0
2.602,2730087.832,eduroam,dc:9f:db:1b:63:ed,-82.0,4.0,3.0,6.0
2.602,2730087.472,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-82.0,4.0,3.0,6.0
2.602,2730088.088,wpen-uji,4c:5e:0c:d6:e1:a4,-89.0,4.0,3.0,6.0
2.602,2730089.314,,58:d9:d5:82:52:e4,-91.0,4.0,3.0,6.0
2.602,2730089.307,MOVISTAR_PLUS_E95D,cc:d4:a1:8a:e9:5e,-92.0,4.0,3.0,6.0
3.151,2730091.18,eduroam,04:18:d6:81:26:e8,-65.0,4.0,3.0,6.0
3.151,2730087.99,GEOTECWIFI03,f8:1a:67:37:05:b8,-67.0,4.0,3.0,6.0
3.151,2730088.711,UJI,06:18:d6:82:26:e8,-69.0,4.0,3.0,6.0
3.151,2730088.71,eduroam,04:18:d6:82:26:e8,-70.0,4.0,3.0,6.0
3.151,2730088.056,UJI,06:18:d6:81:26:e8,-75.0,4.0,3.0,6.0
3.151,2730088.751,UJI,de:9f:db:1c:63:ed,-77.0,4.0,3.0,6.0
3.151,2730087.797,UJI,de:9f:db:1b:63:ed,-81.0,4.0,3.0,6.0
3.151,2730087.832,eduroam,dc:9f:db:1b:63:ed,-82.0,4.0,3.0,6.0
3.151,2730087.472,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-82.0,4.0,3.0,6.0
3.151,2730088.088,wpen-uji,4c:5e:0c:d6:e1:a4,-89.0,4.0,3.0,6.0
3.151,2730089.314,,58:d9:d5:82:52:e4,-91.0,4.0,3.0,6.0
3.151,2730089.307,MOVISTAR_PLUS_E95D,cc:d4:a1:8a:e9:5e,-92.0,4.0,3.0,6.0
5.15,2730091.18,eduroam,04:18:d6:81:26:e8,-65.0,4.0,3.0,6.0
5.15,2730087.99,GEOTECWIFI03,f8:1a:67:37:05:b8,-67.0,4.0,3.0,6.0
5.15,2730088.711,UJI,06:18:d6:82:26:e8,-69.0,4.0,3.0,6.0
5.15,2730088.71,eduroam,04:18:d6:82:26:e8,-70.0,4.0,3.0,6.0
5.15,2730088.056,UJI,06:18:d6:81:26:e8,-75.0,4.0,3.0,6.0
5.15,2730088.751,UJI,de:9f:db:1c:63:ed,-77.0,4.0,3.0,6.0
5.15,2730087.797,UJI,de:9f:db:1b:63:ed,-81.0,4.0,3.0,6.0
5.15,2730087.832,eduroam,dc:9f:db:1b:63:ed,-82.0,4.0,3.0,6.0
5.15,2730087.472,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-82.0,4.0,3.0,6.0
5.15,2730088.088,wpen-uji,4c:5e:0c:d6:e1:a4,-89.0,4.0,3.0,6.0
5.15,2730089.314,,58:d9:d5:82:52:e4,-91.0,4.0,3.0,6.0
5.15,2730089.307,MOVISTAR_PLUS_E95D,cc:d4:a1:8a:e9:5e,-92.0,4.0,3.0,6.0
7.152,2730091.18,eduroam,04:18:d6:81:26:e8,-65.0,4.0,3.0,6.0
7.152,2730087.99,GEOTECWIFI03,f8:1a:67:37:05:b8,-67.0,4.0,3.0,6.0
7.152,2730088.711,UJI,06:18:d6:82:26:e8,-69.0,4.0,3.0,6.0
7.152,2730088.71,eduroam,04:18:d6:82:26:e8,-70.0,4.0,3.0,6.0
7.152,2730088.056,UJI,06:18:d6:81:26:e8,-75.0,4.0,3.0,6.0
7.152,2730088.751,UJI,de:9f:db:1c:63:ed,-77.0,4.0,3.0,6.0
7.152,2730087.797,UJI,de:9f:db:1b:63:ed,-81.0,4.0,3.0,6.0
7.152,2730087.832,eduroam,dc:9f:db:1b:63:ed,-82.0,4.0,3.0,6.0
7.152,2730087.472,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-82.0,4.0,3.0,6.0
7.152,2730088.088,wpen-uji,4c:5e:0c:d6:e1:a4,-89.0,4.0,3.0,6.0
7.152,2730089.314,,58:d9:d5:82:52:e4,-91.0,4.0,3.0,6.0
7.152,2730089.307,MOVISTAR_PLUS_E95D,cc:d4:a1:8a:e9:5e,-92.0,4.0,3.0,6.0
9.152,2730091.18,eduroam,04:18:d6:81:26:e8,-65.0,4.0,3.0,6.0
9.152,2730087.99,GEOTECWIFI03,f8:1a:67:37:05:b8,-67.0,4.0,3.0,6.0
9.152,2730088.711,UJI,06:18:d6:82:26:e8,-69.0,4.0,3.0,6.0
9.152,2730088.71,eduroam,04:18:d6:82:26:e8,-70.0,4.0,3.0,6.0
9.152,2730088.056,UJI,06:18:d6:81:26:e8,-75.0,4.0,3.0,6.0
9.152,2730088.751,UJI,de:9f:db:1c:63:ed,-77.0,4.0,3.0,6.0
9.152,2730087.797,UJI,de:9f:db:1b:63:ed,-81.0,4.0,3.0,6.0
9.152,2730087.832,eduroam,dc:9f:db:1b:63:ed,-82.0,4.0,3.0,6.0
9.152,2730087.472,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-82.0,4.0,3.0,6.0
9.152,2730088.088,wpen-uji,4c:5e:0c:d6:e1:a4,-89.0,4.0,3.0,6.0
9.152,2730089.314,,58:d9:d5:82:52:e4,-91.0,4.0,3.0,6.0
9.152,2730089.307,MOVISTAR_PLUS_E95D,cc:d4:a1:8a:e9:5e,-92.0,4.0,3.0,6.0
11.149,2730091.18,eduroam,04:18:d6:81:26:e8,-65.0,4.0,3.0,6.0
11.149,2730087.99,GEOTECWIFI03,f8:1a:67:37:05:b8,-67.0,4.0,3.0,6.0
11.149,2730088.711,UJI,06:18:d6:82:26:e8,-69.0,4.0,3.0,6.0
