AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
0.331,260503.322,UJI,de:9f:db:1b:63:ed,-82.0,12.0,7.8,6.6
0.331,260501.701,eduroam,dc:9f:db:1c:91:6a,-82.0,12.0,7.8,6.6
0.331,260502.57,GEOTECWIFI03,f8:1a:67:37:05:b8,-63.0,12.0,7.8,6.6
0.331,260502.936,eduroam,04:18:d6:82:26:e8,-65.0,12.0,7.8,6.6
0.331,260503.39,UJI,de:9f:db:1b:91:6a,-82.0,12.0,7.8,6.6
0.331,260502.941,UJI,06:18:d6:82:26:e8,-66.0,12.0,7.8,6.6
0.331,260501.716,UJI,e4:8d:8c:47:46:4b,-95.0,12.0,7.8,6.6
0.331,260504.143,,34:3a:20:a6:f5:31,-86.0,12.0,7.8,6.6
0.331,260504.143,cuatroochenta,34:3a:20:a6:f5:33,-86.0,12.0,7.8,6.6
0.331,260504.143,480Invitados,34:3a:20:a6:f5:32,-87.0,12.0,7.8,6.6
0.331,260504.882,480Invitados,34:3a:20:a6:d6:92,-91.0,12.0,7.8,6.6
0.331,260504.882,,34:3a:20:a6:d6:91,-90.0,12.0,7.8,6.6
0.331,260504.882,cuatroochenta,34:3a:20:a6:d6:93,-91.0,12.0,7.8,6.6
0.331,260501.703,UJI,de:9f:db:1c:91:6a,-82.0,12.0,7.8,6.6
0.331,260506.446,eduroam,04:18:d6:81:26:e8,-62.0,12.0,7.8,6.6
0.331,260503.39,eduroam,dc:9f:db:1b:91:6a,-82.0,12.0,7.8,6.6
1.99,260519.539,eduroam,dc:9f:db:1c:63:ed,-78.0,12.0,7.8,6.6
1.99,260518.286,eduroam,dc:9f:db:1c:91:6a,-77.0,12.0,7.8,6.6
1.99,260519.9,UJI,de:9f:db:1b:63:ed,-83.0,12.0,7.8,6.6
1.99,260519.54,eduroam,04:18:d6:82:26:e8,-60.0,12.0,7.8,6.6
1.99,260519.542,UJI,06:18:d6:82:26:e8,-61.0,12.0,7.8,6.6
1.99,260519.542,UJI,de:9f:db:1c:63:ed,-82.0,12.0,7.8,6.6
1.99,260520.735,,34:3a:20:a6:f5:31,-88.0,12.0,7.8,6.6
1.99,260520.735,480Invitados,34:3a:20:a6:f5:32,-90.0,12.0,7.8,6.6
1.99,260518.286,UJI,de:9f:db:1c:91:6a,-79.0,12.0,7.8,6.6
1.99,260523.239,eduroam,04:18:d6:81:26:e8,-51.0,12.0,7.8,6.6
2.346,260519.539,eduroam,dc:9f:db:1c:63:ed,-78.0,12.0,7.8,6.6
2.346,260518.286,eduroam,dc:9f:db:1c:91:6a,-77.0,12.0,7.8,6.6
2.346,260519.9,UJI,de:9f:db:1b:63:ed,-83.0,12.0,7.8,6.6
2.346,260519.54,eduroam,04:18:d6:82:26:e8,-60.0,12.0,7.8,6.6
2.346,260519.542,UJI,06:18:d6:82:26:e8,-61.0,12.0,7.8,6.6
2.346,260519.542,UJI,de:9f:db:1c:63:ed,-82.0,12.0,7.8,6.6
2.346,260520.735,,34:3a:20:a6:f5:31,-88.0,12.0,7.8,6.6
2.346,260520.735,480Invitados,34:3a:20:a6:f5:32,-90.0,12.0,7.8,6.6
2.346,260518.286,UJI,de:9f:db:1c:91:6a,-79.0,12.0,7.8,6.6
2.346,260523.239,eduroam,04:18:d6:81:26:e8,-51.0,12.0,7.8,6.6
4.335,260519.539,eduroam,dc:9f:db:1c:63:ed,-78.0,12.0,7.8,6.6
4.335,260518.286,eduroam,dc:9f:db:1c:91:6a,-77.0,12.0,7.8,6.6
4.335,260519.9,UJI,de:9f:db:1b:63:ed,-83.0,12.0,7.8,6.6
4.335,260519.54,eduroam,04:18:d6:82:26:e8,-60.0,12.0,7.8,6.6
4.335,260519.542,UJI,06:18:d6:82:26:e8,-61.0,12.0,7.8,6.6
4.335,260519.542,UJI,de:9f:db:1c:63:ed,-82.0,12.0,7.8,6.6
4.335,260520.735,,34:3a:20:a6:f5:31,-88.0,12.0,7.8,6.6
4.335,260520.735,480Invitados,34:3a:20:a6:f5:32,-90.0,12.0,7.8,6.6
4.335,260518.286,UJI,de:9f:db:1c:91:6a,-79.0,12.0,7.8,6.6
4.335,260523.239,eduroam,04:18:d6:81:26:e8,-51.0,12.0,7.8,6.6
6.336,260519.539,eduroam,dc:9f:db:1c:63:ed,-78.0,12.0,7.8,6.6
6.336,260518.286,eduroam,dc:9f:db:1c:91:6a,-77.0,12.0,7.8,6.6
6.336,260519.9,UJI,de:9f:db:1b:63:ed,-83.0,12.0,7.8,6.6
6.336,260519.54,eduroam,04:18:d6:82:26:e8,-60.0,12.0,7.8,6.6
6.336,260519.542,UJI,06:18:d6:82:26:e8,-61.0,12.0,7.8,6.6
6.336,260519.542,UJI,de:9f:db:1c:63:ed,-82.0,12.0,7.8,6.6
6.336,260520.735,,34:3a:20:a6:f5:31,-88.0,12.0,7.8,6.6
6.336,260520.735,480Invitados,34:3a:20:a6:f5:32,-90.0,12.0,7.8,6.6
6.336,260518.286,UJI,de:9f:db:1c:91:6a,-79.0,12.0,7.8,6.6
6.336,260523.239,eduroam,04:18:d6:81:26:e8,-51.0,12.0,7.8,6.6
8.337,260519.539,eduroam,dc:9f:db:1c:63:ed,-78.0,12.0,7.8,6.6
8.337,260518.286,eduroam,dc:9f:db:1c:91:6a,-77.0,12.0,7.8,6.6
8.337,260519.9,UJI,de:9f:db:1b:63:ed,-83.0,12.0,7.8,6.6
8.337,260519.54,eduroam,04:18:d6:82:26:e8,-60.0,12.0,7.8,6.6
8.337,260519.542,UJI,06:18:d6:82:26:e8,-61.0,12.0,7.8,6.6
8.337,260519.542,UJI,de:9f:db:1c:63:ed,-82.0,12.0,7.8,6.6
8.337,260520.735,,34:3a:20:a6:f5:31,-88.0,12.0,7.8,6.6
8.337,260520.735,480Invitados,34:3a:20:a6:f5:32,-90.0,12.0,7.8,6.6
8.337,260518.286,UJI,de:9f:db:1c:91:6a,-79.0,12.0,7.8,6.6
8.337,260523.239,eduroam,04:18:d6:81:26:e8,-51.0,12.0,7.8,6.6
10.338,260519.539,eduroam,dc:9f:db:1c:63:ed,-78.0,12.0,7.8,6.6
10.338,260518.286,eduroam,dc:9f:db:1c:91:6a,-77.0,12.0,7.8,6.6
10.338,260519.9,UJI,de:9f:db:1b:63:ed,-83.0,12.0,7.8,6.6
