rmse,mse,mae,euclid,n_trees
1.2573542790133692,0.7850051657277252,1.5809397829532292,1.2313667247585953,5000
1.257544029578383,0.7851335915813427,1.5814169863282375,1.231636715936847,2000
1.258062791025447,0.7855283899769522,1.5827219861627375,1.232178588228968,1000
1.259072674981204,0.7866110730736156,1.5852640008843248,1.233913880903382,500
1.2653366483070942,0.7892756289274525,1.601076833549031,1.2386492434388754,100
1.3598828690172056,0.8404257013813848,1.849281417446466,1.3225122676595036,10
