rmse,mse,mae,euclid,k_neighbors
1.3455955400655906,0.676485087838758,1.810627357444408,1.0751361949897058,3
1.3504224645877208,0.615090494348359,1.8236408328631741,0.982245096578278,2
1.3554415111386757,0.723991352308321,1.8372216901178966,1.1470645801217592,4
1.3729141744416065,0.7626407326705709,1.8848933303826776,1.2060451404938508,5
1.3938860931902184,0.7956988288165601,1.94291844078909,1.2566157908042073,6
1.414255676272275,0.8257022431470208,2.00011911786835,1.30212583161543,7
1.432834450002774,0.8512440504562169,2.053014561114752,1.3413014493809965,8
1.447529324104063,0.8741522538472015,2.095341144141165,1.376336183577138,9
1.4647321370552056,0.8958276181397251,2.1454402333223093,1.409496880491606,10
1.4676973931724935,0.574772504425984,2.1541356379253327,0.9311629533298328,1
