AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
0.088,611879.963,0.54588,-0.60394,10.46326,0,0,0.6
0.091,611879.983,0.73801,-0.55545,8.85376,0,0,0.6
0.092,611880.003,0.71886,-0.32082,8.5904,0,0,0.6
0.094,611880.024,0.55545,-0.17238,9.72585,0,0,0.6
0.096,611880.044,0.47405,-0.17238,9.83119,0,0,0.6
0.113,611880.064,0.49321,-0.22984,9.994,0,0,0.6
0.138,611880.084,0.60394,-0.33519,9.5774,0,0,0.6
0.142,611880.104,0.69492,-0.49321,9.07881,0,0,0.6
0.163,611880.124,0.65182,-0.58957,9.88386,0,0,0.6
0.183,611880.144,0.55067,-0.59436,10.87087,0,0,0.6
0.202,611880.164,0.50757,-0.52672,10.95706,0,0,0.6
0.222,611880.185,0.55067,-0.41659,10.25257,0,0,0.6
0.243,611880.205,0.62309,-0.26815,8.78672,0,0,0.6
0.267,611880.225,0.65661,-0.19632,8.3408,0,0,0.6
0.287,611880.245,0.60873,-0.24421,9.2895,0,0,0.6
0.309,611880.265,0.55067,-0.33998,10.22384,0,0,0.6
0.323,611880.285,0.5363,-0.4549,10.66976,0,0,0.6
0.344,611880.305,0.58957,-0.5363,10.09934,0,0,0.6
0.367,611880.325,0.63267,-0.54109,9.67317,0,0,0.6
0.384,611880.345,0.62309,-0.47884,9.76415,0,0,0.6
0.405,611880.366,0.58478,-0.39744,10.11371,0,0,0.6
0.424,611880.386,0.55545,-0.32082,10.00357,0,0,0.6
0.446,611880.406,0.56563,-0.26815,9.46189,0,0,0.6
0.464,611880.426,0.60873,-0.27294,9.16979,0,0,0.6
0.484,611880.446,0.6183,-0.33998,9.25598,0,0,0.6
0.505,611880.466,0.59915,-0.42617,9.99879,0,0,0.6
0.532,611880.486,0.56563,-0.48842,10.38665,0,0,0.6
0.545,611880.506,0.57042,-0.50757,10.39143,0,0,0.6
0.565,611880.527,0.58957,-0.48363,10.00836,0,0,0.6
0.585,611880.547,0.61351,-0.40701,9.56304,0,0,0.6
0.608,611880.567,0.60873,-0.33998,9.43794,0,0,0.6
0.625,611880.587,0.53151,-0.19632,8.7963,0,0,0.6
0.646,611880.607,0.59915,-0.39744,10.55903,0,0,0.6
0.666,611880.627,0.60873,-0.45969,9.67317,0,0,0.6
0.686,611880.647,0.58478,-0.49321,10.41059,0,0,0.6
0.709,611880.667,0.63746,-0.48363,9.50019,0,0,0.6
0.727,611880.688,0.63746,-0.49321,10.08976,0,0,0.6
0.748,611880.708,0.55067,-0.35913,9.78331,0,0,0.6
0.767,611880.728,0.58478,-0.34477,10.06582,0,0,0.6
0.787,611880.748,0.57042,-0.3304,9.46189,0,0,0.6
0.807,611880.768,0.60873,-0.31125,9.34218,0,0,0.6
0.826,611880.788,0.6183,-0.34955,9.41879,0,0,0.6
0.847,611880.808,0.59436,-0.39265,9.8695,0,0,0.6
0.867,611880.828,0.57042,-0.45011,10.29088,0,0,0.6
0.887,611880.848,0.56024,-0.48363,10.16638,0,0,0.6
0.91,611880.869,0.59436,-0.48842,10.05625,0,0,0.6
0.927,611880.889,0.60873,-0.40701,9.60135,0,0,0.6
0.95,611880.909,0.60394,-0.35434,9.59177,0,0,0.6
0.97,611880.929,0.59915,-0.30646,9.55825,0,0,0.6
0.99,611880.949,0.57042,-0.31125,9.74021,0,0,0.6
1.01,611880.969,0.58957,-0.36871,9.74021,0,0,0.6
1.03,611880.989,0.59436,-0.42617,9.83119,0,0,0.6
1.052,611881.009,0.59915,-0.4549,9.88386,0,0,0.6
1.068,611881.03,0.59915,-0.4549,10.02752,0,0,0.6
1.111,611881.05,0.58478,-0.43574,10.02273,0,0,0.6
1.117,611881.07,0.58478,-0.38307,9.84077,0,0,0.6
1.139,611881.09,0.58957,-0.35913,9.63008,0,0,0.6
1.148,611881.11,0.59436,-0.34955,9.51456,0,0,0.6
1.169,611881.13,0.59436,-0.35434,9.65402,0,0,0.6
1.191,611881.15,0.59436,-0.38307,9.81683,0,0,0.6
1.209,611881.17,0.59436,-0.40223,9.95569,0,0,0.6
1.229,611881.191,0.58957,-0.43096,9.92696,0,0,0.6
1.249,611881.211,0.58957,-0.44053,9.89344,0,0,0.6
1.269,611881.231,0.58957,-0.42617,9.84077,0,0,0.6
1.297,611881.251,0.58478,-0.38786,9.80725,0,0,0.6
1.31,611881.271,0.58478,-0.3735,9.73542,0,0,0.6
1.329,611881.291,0.59436,-0.34955,9.65881,0,0,0.6
1.352,611881.311,0.59915,-0.36392,9.68275,0,0,0.6
1.374,611881.331,0.59915,-0.39265,9.77373,0,0,0.6
1.392,611881.351,0.58,-0.42138,9.91259,0,0,0.6
1.41,611881.372,0.58957,-0.42617,9.94611,0,0,0.6
1.43,611881.392,0.59436,-0.42138,9.89823,0,0,0.6
1.453,611881.412,0.59436,-0.40223,9.7881,0,0,0.6
1.472,611881.432,0.59436,-0.38307,9.72585,0,0,0.6
1.599,611881.452,0.58957,-0.36871,9.71627,0,0,0.6
1.603,611881.472,0.58,-0.3735,9.74021,0,0,0.6
1.604,611881.492,0.58957,-0.38307,9.77852,0,0,0.6
1.609,611881.512,0.59915,-0.40223,9.80725,0,0,0.6
1.61,611881.533,0.59436,-0.4118,9.85513,0,0,0.6
1.616,611881.553,0.59436,-0.42138,9.87429,0,0,0.6
1.617,611881.573,0.58478,-0.4118,9.85513,0,0,0.6
1.632,611881.593,0.58478,-0.39744,9.80246,0,0,0.6
1.652,611881.613,0.58957,-0.37828,9.73063,0,0,0.6
1.672,611881.633,0.58957,-0.3735,9.72106,0,0,0.6
1.692,611881.653,0.59436,-0.38307,9.74979,0,0,0.6
1.716,611881.673,0.58957,-0.40223,9.80725,0,0,0.6
1.736,611881.694,0.58957,-0.40701,9.84556,0,0,0.6
1.756,611881.714,0.59436,-0.4118,9.84556,0,0,0.6
1.778,611881.734,0.59915,-0.4118,9.8264,0,0,0.6
1.797,611881.754,0.59436,-0.39744,9.80246,0,0,0.6
1.816,611881.774,0.59436,-0.39265,9.77373,0,0,0.6
1.836,611881.794,0.59436,-0.38786,9.75937,0,0,0.6
1.858,611881.814,0.58957,-0.38307,9.75458,0,0,0.6
1.873,611881.834,0.59436,-0.39744,9.76894,0,0,0.6
1.893,611881.854,0.59436,-0.39744,9.80725,0,0,0.6
1.913,611881.875,0.59436,-0.40701,9.84077,0,0,0.6
1.933,611881.895,0.59436,-0.40223,9.83119,0,0,0.6
1.954,611881.915,0.58957,-0.40701,9.81204,0,0,0.6
1.974,611881.935,0.59436,-0.39744,9.78331,0,0,0.6
1.994,611881.955,0.58957,-0.38786,9.77373,0,0,0.6
2.014,611881.975,0.59436,-0.38786,9.76894,0,0,0.6
2.038,611881.995,0.59436,-0.38786,9.78331,0,0,0.6
2.054,611882.015,0.58957,-0.39265,9.79288,0,0,0.6
2.088,611882.036,0.58957,-0.39744,9.81683,0,0,0.6
2.094,611882.056,0.58957,-0.40223,9.81683,0,0,0.6
2.115,611882.076,0.58957,-0.40701,9.82161,0,0,0.6
2.134,611882.096,0.58957,-0.39265,9.79288,0,0,0.6
2.155,611882.116,0.59436,-0.39265,9.77852,0,0,0.6
2.175,611882.136,0.59436,-0.38786,9.76415,0,0,0.6
2.196,611882.156,0.58478,-0.39265,9.78331,0,0,0.6
2.217,611882.176,0.58957,-0.39744,9.80246,0,0,0.6
2.236,611882.197,0.59436,-0.39744,9.81683,0,0,0.6
2.255,611882.217,0.59436,-0.39744,9.81683,0,0,0.6
2.275,611882.237,0.58957,-0.40223,9.80725,0,0,0.6
2.296,611882.257,0.58957,-0.40223,9.79767,0,0,0.6
2.315,611882.277,0.58957,-0.40223,9.78331,0,0,0.6
2.335,611882.297,0.59436,-0.39265,9.7881,0,0,0.6
2.356,611882.317,0.59915,-0.38786,9.77373,0,0,0.6
2.375,611882.337,0.58957,-0.38786,9.79288,0,0,0.6
2.396,611882.357,0.58957,-0.39265,9.79288,0,0,0.6
2.416,611882.378,0.58478,-0.40701,9.8264,0,0,0.6
2.435,611882.398,0.58478,-0.4118,9.79767,0,0,0.6
2.461,611882.418,0.59436,-0.39265,9.80725,0,0,0.6
2.476,611882.438,0.59436,-0.38307,9.77373,0,0,0.6
2.496,611882.458,0.59436,-0.38786,9.7881,0,0,0.6
2.516,611882.478,0.58957,-0.39265,9.7881,0,0,0.6
2.539,611882.498,0.58478,-0.39744,9.80246,0,0,0.6
2.558,611882.518,0.58957,-0.40223,9.80246,0,0,0.6
2.576,611882.539,0.59915,-0.40223,9.80246,0,0,0.6
2.597,611882.559,0.59915,-0.39265,9.80246,0,0,0.6
2.617,611882.579,0.58957,-0.39265,9.79288,0,0,0.6
2.639,611882.599,0.59436,-0.39265,9.79288,0,0,0.6
