AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
0.076,2732350.431,-0.01645,-0.30568,9.29313,6,3,0.6
0.077,2732350.45,-0.05952,-0.28175,9.03919,6,3,0.6
0.077,2732350.469,-0.06191,-0.29133,9.21416,6,3,0.6
0.078,2732350.488,-0.04756,-0.35354,10.20748,6,3,0.6
0.092,2732350.507,-0.03799,-0.39422,10.17877,6,3,0.6
0.126,2732350.526,-0.02363,-0.42054,10.35853,6,3,0.6
0.126,2732350.545,-0.00688,-0.41097,10.15005,6,3,0.6
0.143,2732350.564,-0.01406,-0.3679,9.81745,6,3,0.6
0.159,2732350.583,-0.04756,-0.31047,9.67119,6,3,0.6
0.181,2732350.602,-0.05234,-0.28654,9.59462,6,3,0.6
0.199,2732350.621,-0.03799,-0.32961,9.70977,6,3,0.6
0.218,2732350.64,-0.00688,-0.36311,9.86531,6,3,0.6
0.236,2732350.66,0.00748,-0.38225,10.08306,6,3,0.6
0.254,2732350.679,-0.01645,-0.36072,10.13091,6,3,0.6
0.276,2732350.698,-0.0332,-0.32961,10.01606,6,3,0.6
0.294,2732350.717,-0.05952,-0.30568,9.73849,6,3,0.6
0.313,2732350.736,-0.07388,-0.32243,9.64487,6,3,0.6
0.333,2732350.755,-0.06431,-0.34636,9.67598,6,3,0.6
0.352,2732350.774,-0.04995,-0.3679,9.79831,6,3,0.6
0.371,2732350.793,-0.02841,-0.37268,9.8677,6,3,0.6
0.389,2732350.812,-0.04038,-0.38225,9.9682,6,3,0.6
0.409,2732350.831,-0.01884,-0.38225,10.00409,6,3,0.6
0.427,2732350.85,-0.02363,-0.37507,10.04238,6,3,0.6
0.446,2732350.869,-0.02363,-0.38704,9.98016,6,3,0.6
0.464,2732350.888,-0.02363,-0.37507,9.92991,6,3,0.6
0.483,2732350.907,-0.02602,-0.37747,9.83899,6,3,0.6
0.504,2732350.926,-0.02602,-0.37029,9.77677,6,3,0.6
0.522,2732350.945,-0.03081,-0.35833,9.77677,6,3,0.6
0.541,2732350.964,-0.03799,-0.3655,9.79592,6,3,0.6
0.561,2732350.983,-0.05474,-0.36072,9.86052,6,3,0.6
0.579,2732351.002,-0.07149,-0.37507,9.92513,6,3,0.6
0.599,2732351.021,-0.06909,-0.42293,9.95384,6,3,0.6
0.617,2732351.04,-0.04277,-0.42293,9.97299,6,3,0.6
0.637,2732351.059,-0.01645,-0.39661,9.92513,6,3,0.6
0.655,2732351.078,-0.01167,-0.3655,9.89402,6,3,0.6
0.674,2732351.097,-0.04516,-0.35593,9.8342,6,3,0.6
0.695,2732351.116,-0.04277,-0.35833,9.81506,6,3,0.6
0.712,2732351.135,-0.0332,-0.37986,9.81745,6,3,0.6
0.732,2732351.154,-0.03559,-0.38704,9.85813,6,3,0.6
0.752,2732351.173,-0.03559,-0.40379,9.89402,6,3,0.6
0.769,2732351.192,-0.04756,-0.40379,9.92274,6,3,0.6
0.788,2732351.211,-0.06191,-0.37986,9.92991,6,3,0.6
0.807,2732351.23,-0.06431,-0.38943,9.91556,6,3,0.6
0.828,2732351.249,-0.05713,-0.4014,9.89402,6,3,0.6
0.845,2732351.268,-0.05952,-0.40379,9.85334,6,3,0.6
0.864,2732351.287,-0.02602,-0.4014,9.84856,6,3,0.6
0.882,2732351.306,0.00269,-0.37268,9.84617,6,3,0.6
0.904,2732351.325,-0.01884,-0.34158,9.84856,6,3,0.6
0.921,2732351.344,-0.01884,-0.35593,9.87009,6,3,0.6
0.942,2732351.363,-0.01884,-0.36072,9.88684,6,3,0.6
0.961,2732351.382,-0.0332,-0.39661,9.90599,6,3,0.6
0.98,2732351.401,-0.04277,-0.42532,9.90359,6,3,0.6
1.003,2732351.42,-0.04038,-0.42532,9.89881,6,3,0.6
1.021,2732351.439,-0.05474,-0.41097,9.87967,6,3,0.6
1.038,2732351.458,-0.04995,-0.37268,9.88684,6,3,0.6
1.054,2732351.477,-0.01884,-0.37986,9.8677,6,3,0.6
1.077,2732351.496,-0.00449,-0.38465,9.87249,6,3,0.6
1.093,2732351.515,0.01226,-0.38704,9.86292,6,3,0.6
1.113,2732351.534,0.01705,-0.38225,9.88924,6,3,0.6
1.132,2732351.553,0.01466,-0.37986,9.87727,6,3,0.6
1.151,2732351.573,0.00269,-0.38943,9.89642,6,3,0.6
1.17,2732351.592,-0.02363,-0.38465,9.87009,6,3,0.6
1.187,2732351.611,-0.01884,-0.39661,9.89402,6,3,0.6
1.207,2732351.63,-0.04516,-0.39661,9.87727,6,3,0.6
1.226,2732351.649,-0.03559,-0.39422,9.87249,6,3,0.6
1.245,2732351.668,-0.03559,-0.39422,9.87009,6,3,0.6
1.263,2732351.687,-0.02602,-0.39422,9.87488,6,3,0.6
1.282,2732351.706,-0.01884,-0.38225,9.88206,6,3,0.6
1.302,2732351.725,-0.01645,-0.37268,9.87249,6,3,0.6
1.324,2732351.744,-0.01406,-0.38943,9.88684,6,3,0.6
1.341,2732351.763,-0.02363,-0.38704,9.87967,6,3,0.6
1.359,2732351.782,-0.01645,-0.38943,9.87727,6,3,0.6
1.379,2732351.801,-0.02602,-0.40379,9.87488,6,3,0.6
1.398,2732351.82,-0.02602,-0.38943,9.86531,6,3,0.6
1.417,2732351.839,-0.03081,-0.39422,9.87967,6,3,0.6
1.436,2732351.858,-0.03081,-0.399,9.87249,6,3,0.6
1.453,2732351.877,-0.01884,-0.39182,9.88206,6,3,0.6
1.473,2732351.896,-0.01406,-0.38943,9.88206,6,3,0.6
1.492,2732351.915,-0.02602,-0.39182,9.87967,6,3,0.6
1.518,2732351.934,-0.02124,-0.38943,9.88206,6,3,0.6
1.53,2732351.953,-0.02841,-0.37507,9.88206,6,3,0.6
1.551,2732351.972,-0.02124,-0.38465,9.88924,6,3,0.6
1.569,2732351.991,-0.02124,-0.4014,9.87249,6,3,0.6
1.588,2732352.01,-0.02363,-0.4014,9.87967,6,3,0.6
1.607,2732352.029,-0.01406,-0.39661,9.87009,6,3,0.6
1.626,2732352.048,-0.02124,-0.38225,9.87967,6,3,0.6
1.645,2732352.067,-0.01645,-0.4014,9.87967,6,3,0.6
1.663,2732352.086,-0.01406,-0.38704,9.87727,6,3,0.6
1.682,2732352.105,-0.00927,-0.38225,9.88206,6,3,0.6
1.702,2732352.124,-0.02363,-0.38943,9.88684,6,3,0.6
1.722,2732352.143,-0.01645,-0.40618,9.87727,6,3,0.6
1.74,2732352.162,-0.02124,-0.38465,9.88206,6,3,0.6
1.757,2732352.181,-0.02602,-0.39182,9.88206,6,3,0.6
1.778,2732352.2,-0.02602,-0.38225,9.88445,6,3,0.6
1.797,2732352.219,-0.02602,-0.38943,9.87727,6,3,0.6
