AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
0.069,2724731.459,-0.00449,0.22582,9.72653,1,0,5.4
0.071,2724731.478,-0.04756,0.27846,9.36491,1,0,5.4
0.072,2724731.497,-0.05952,0.27607,9.52284,1,0,5.4
0.076,2724731.516,-0.00927,0.26889,9.72413,1,0,5.4
0.077,2724731.535,0.04576,0.25693,9.65205,1,0,5.4
0.091,2724731.554,0.04337,0.27368,10.47817,1,0,5.4
0.111,2724731.573,-0.01406,0.21147,9.9347,1,0,5.4
0.126,2724731.592,-0.06191,0.19232,10.01845,1,0,5.4
0.144,2724731.611,-0.05234,0.1995,9.8007,1,0,5.4
0.163,2724731.63,-0.00688,0.24257,9.81267,1,0,5.4
0.182,2724731.649,-0.00209,0.29521,9.80549,1,0,5.4
0.201,2724731.668,-0.01167,0.29761,9.87967,1,0,5.4
0.221,2724731.687,-0.02602,0.25454,9.78395,1,0,5.4
0.24,2724731.706,-0.04038,0.22822,9.58266,1,0,5.4
0.258,2724731.725,-0.08824,0.19232,9.61137,1,0,5.4
0.277,2724731.744,-0.05474,0.16839,9.79831,1,0,5.4
0.298,2724731.763,-0.00209,0.16361,9.94666,1,0,5.4
0.316,2724731.783,0.01226,0.12293,10.1357,1,0,5.4
0.337,2724731.802,-0.04756,0.0679,10.18834,1,0,5.4
0.356,2724731.821,-0.08824,0.0679,10.14766,1,0,5.4
0.374,2724731.84,-0.08106,0.08465,9.99691,1,0,5.4
0.392,2724731.859,-0.04277,0.09661,9.95624,1,0,5.4
0.413,2724731.878,-0.00927,0.12772,9.88924,1,0,5.4
0.431,2724731.897,-0.02363,0.15882,9.64008,1,0,5.4
0.45,2724731.916,-0.04277,0.16361,9.72892,1,0,5.4
0.469,2724731.935,-0.07388,0.14207,9.59462,1,0,5.4
0.488,2724731.954,-0.05474,0.12772,9.78395,1,0,5.4
0.507,2724731.973,-0.04277,0.10857,9.92274,1,0,5.4
0.527,2724731.992,-0.03559,0.08465,9.99691,1,0,5.4
0.545,2724732.011,-0.04756,0.07747,10.08545,1,0,5.4
0.563,2724732.03,-0.0667,0.07507,10.02802,1,0,5.4
0.583,2724732.049,-0.07388,0.07507,9.98256,1,0,5.4
0.601,2724732.068,-0.06191,0.09422,9.86052,1,0,5.4
0.621,2724732.087,-0.04756,0.11336,9.78395,1,0,5.4
0.641,2724732.106,-0.03799,0.13011,9.7361,1,0,5.4
0.657,2724732.125,-0.05234,0.12772,9.74327,1,0,5.4
0.678,2724732.144,-0.06191,0.11336,9.81506,1,0,5.4
0.697,2724732.163,-0.0667,0.099,9.88445,1,0,5.4
0.716,2724732.182,-0.04756,0.08704,9.95145,1,0,5.4
0.734,2724732.201,-0.04277,0.08225,9.98495,1,0,5.4
0.754,2724732.22,-0.05234,0.08704,9.97777,1,0,5.4
0.772,2724732.239,-0.06909,0.1014,9.91317,1,0,5.4
0.791,2724732.258,-0.05234,0.10857,9.86531,1,0,5.4
0.812,2724732.277,-0.04995,0.08943,9.81985,1,0,5.4
0.831,2724732.296,-0.04756,0.11097,9.79592,1,0,5.4
0.851,2724732.315,-0.05234,0.11097,9.81506,1,0,5.4
0.868,2724732.334,-0.04516,0.11575,9.84617,1,0,5.4
0.888,2724732.353,-0.05713,0.10618,9.89881,1,0,5.4
0.906,2724732.372,-0.05474,0.08943,9.92752,1,0,5.4
0.929,2724732.391,-0.04995,0.09182,9.94188,1,0,5.4
0.943,2724732.41,-0.05952,0.08943,9.92752,1,0,5.4
0.964,2724732.429,-0.04756,0.10618,9.89642,1,0,5.4
0.983,2724732.448,-0.04995,0.11336,9.85813,1,0,5.4
1.005,2724732.467,-0.05713,0.12054,9.83899,1,0,5.4
1.021,2724732.486,-0.05474,0.11097,9.84856,1,0,5.4
1.039,2724732.505,-0.05234,0.09661,9.85334,1,0,5.4
1.068,2724732.524,-0.06431,0.09661,9.87488,1,0,5.4
1.08,2724732.543,-0.05234,0.10379,9.91077,1,0,5.4
1.097,2724732.562,-0.06431,0.1014,9.91317,1,0,5.4
1.115,2724732.581,-0.05952,0.09661,9.91556,1,0,5.4
1.135,2724732.6,-0.04756,0.08943,9.88445,1,0,5.4
1.154,2724732.619,-0.05713,0.08943,9.87488,1,0,5.4
1.174,2724732.638,-0.05713,0.09422,9.85574,1,0,5.4
1.196,2724732.657,-0.05234,0.09422,9.84617,1,0,5.4
1.214,2724732.676,-0.04995,0.11336,9.85334,1,0,5.4
1.233,2724732.695,-0.04756,0.09422,9.88206,1,0,5.4
1.248,2724732.715,-0.05234,0.09182,9.89163,1,0,5.4
1.268,2724732.734,-0.05713,0.09422,9.89881,1,0,5.4
1.291,2724732.753,-0.05234,0.08704,9.89163,1,0,5.4
1.306,2724732.772,-0.06191,0.09422,9.88684,1,0,5.4
1.325,2724732.791,-0.05474,0.1014,9.88684,1,0,5.4
1.344,2724732.81,-0.05474,0.10857,9.8677,1,0,5.4
1.362,2724732.829,-0.0667,0.09661,9.86292,1,0,5.4
1.381,2724732.848,-0.06191,0.09661,9.87249,1,0,5.4
1.4,2724732.867,-0.05713,0.099,9.86531,1,0,5.4
1.424,2724732.886,-0.04516,0.09661,9.89402,1,0,5.4
1.438,2724732.905,-0.05474,0.10379,9.89163,1,0,5.4
1.46,2724732.924,-0.07149,0.09661,9.90599,1,0,5.4
1.477,2724732.943,-0.0667,0.09661,9.86531,1,0,5.4
1.5,2724732.962,-0.04516,0.08704,9.89163,1,0,5.4
1.517,2724732.981,-0.03081,0.09182,9.8677,1,0,5.4
1.534,2724733.0,-0.04038,0.09182,9.87249,1,0,5.4
1.554,2724733.019,-0.08345,0.10618,9.85813,1,0,5.4
1.575,2724733.038,-0.08345,0.09661,9.88206,1,0,5.4
1.594,2724733.057,-0.04995,0.08225,9.88206,1,0,5.4
1.61,2724733.076,-0.04038,0.08943,9.89642,1,0,5.4
1.633,2724733.095,-0.05234,0.09661,9.89163,1,0,5.4
1.648,2724733.114,-0.06909,0.1014,9.88684,1,0,5.4
1.669,2724733.133,-0.04516,0.15165,9.85334,1,0,5.4
1.688,2724733.152,0.00748,0.1325,9.91795,1,0,5.4
1.708,2724733.171,-0.00927,0.08704,9.80549,1,0,5.4
1.727,2724733.19,-0.15284,0.02213,9.94666,1,0,5.4
1.744,2724733.209,-0.26052,0.05085,9.85574,1,0,5.4
1.761,2724733.228,-0.14806,0.02213,9.89402,1,0,5.4
1.782,2724733.247,0.15583,0.12293,9.93949,1,0,5.4
1.801,2724733.266,0.12951,0.12772,9.86531,1,0,5.4
1.824,2724733.285,-0.09781,0.15404,9.9012,1,0,5.4
1.836,2724733.304,-0.22702,0.13011,9.8007,1,0,5.4
1.857,2724733.323,-0.07866,0.07507,9.86292,1,0,5.4
