AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
1.806,2730090.502,-0.04756,-0.06162,9.86292,4,3,6
1.827,2730090.521,-0.02363,-0.07836,9.89402,4,3,6
1.843,2730090.54,-0.03081,-0.11665,9.87249,4,3,6
1.865,2730090.559,-0.04038,-0.09272,9.89642,4,3,6
1.884,2730090.578,-0.06909,-0.08315,9.87967,4,3,6
1.9,2730090.597,-0.05952,-0.05922,9.88445,4,3,6
1.92,2730090.616,-0.04038,-0.06879,9.87727,4,3,6
1.939,2730090.635,-0.0332,-0.09511,9.87967,4,3,6
1.957,2730090.654,-0.04277,-0.10469,9.87009,4,3,6
1.976,2730090.673,-0.05713,-0.11186,9.87967,4,3,6
1.994,2730090.692,-0.06191,-0.08076,9.87727,4,3,6
2.016,2730090.711,-0.04756,-0.07836,9.89402,4,3,6
2.034,2730090.73,-0.0332,-0.09511,9.88445,4,3,6
2.054,2730090.749,-0.03081,-0.0999,9.88684,4,3,6
2.091,2730090.768,-0.0332,-0.0999,9.88445,4,3,6
2.092,2730090.787,-0.04995,-0.09511,9.87727,4,3,6
2.109,2730090.807,-0.04995,-0.08554,9.88206,4,3,6
2.127,2730090.826,-0.03799,-0.07836,9.89163,4,3,6
2.147,2730090.845,-0.02363,-0.08076,9.89881,4,3,6
2.166,2730090.864,-0.04277,-0.07597,9.89163,4,3,6
2.186,2730090.883,-0.04756,-0.09751,9.87249,4,3,6
2.205,2730090.902,-0.04995,-0.08315,9.87967,4,3,6
2.224,2730090.921,-0.04277,-0.08794,9.87009,4,3,6
2.243,2730090.94,-0.02841,-0.09033,9.88924,4,3,6
2.262,2730090.959,-0.02602,-0.0999,9.88684,4,3,6
2.281,2730090.978,-0.04038,-0.09033,9.88684,4,3,6
2.3,2730090.997,-0.05952,-0.09511,9.88445,4,3,6
2.319,2730091.016,-0.04995,-0.08076,9.87727,4,3,6
2.338,2730091.035,-0.04277,-0.08794,9.89163,4,3,6
2.356,2730091.054,-0.02124,-0.09751,9.88684,4,3,6
2.377,2730091.073,-0.03081,-0.09033,9.88684,4,3,6
2.395,2730091.092,-0.04995,-0.09751,9.88684,4,3,6
2.414,2730091.111,-0.04756,-0.09272,9.88206,4,3,6
2.432,2730091.13,-0.04277,-0.08076,9.87967,4,3,6
2.451,2730091.149,-0.02363,-0.08794,9.88445,4,3,6
2.471,2730091.168,-0.04277,-0.08554,9.88684,4,3,6
2.49,2730091.187,-0.05474,-0.09272,9.88206,4,3,6
