rmse,mse,mae,euclid,n_trees
2.798136652011834,1.7472114359337254,7.829568723331994,2.647479757071088,100
2.7982021309414407,1.746877661539699,7.82993516560522,2.646881178669358,1000
2.798245049615988,1.7470248013738663,7.830175357700382,2.647106077909257,5000
2.7983099224029453,1.7469465455192954,7.830538421818777,2.647081367083188,500
2.7983271096935654,1.7472853735437703,7.830634612845944,2.6474950136753,2000
2.7987015872430265,1.7460957767991625,7.832730574436635,2.6467104817731584,10
