method,mean_error_distance,percentile_75%_error
knn (k=14),5.414875564504273,6.954091439943974
rf (n=65),4.8451167021169494,7.550271696374013
knn RPMAP 14 ,4.488172480111545,6.520714458169539
rf RPMAP (n=500),4.623441377897599,6.400869395637803
knn GENERATED 14,4.494273456484657,6.520714458169539
rf GENERATED (n=500),4.715510905021033,6.856615078037225
knn SYNTHETIC 14,6.138980351476518,7.927380091332391
rf SYNTHETIC (n=500),5.9428703641149685,7.348696630584683
