AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
1.797,2724733.273,33.975,-177.01875,-415.93127,1,0,5.4
1.816,2724733.293,33.975,-176.88751,-416.06253,1,0,5.4
1.844,2724733.313,33.84375,-176.85001,-416.21252,1,0,5.4
1.858,2724733.333,33.95625,-177.0,-416.26877,1,0,5.4
1.877,2724733.353,33.975,-176.94376,-416.38126,1,0,5.4
1.9,2724733.373,34.125,-176.96251,-416.40002,1,0,5.4
1.917,2724733.393,34.21875,-176.96251,-416.30627,1,0,5.4
1.937,2724733.413,34.35,-176.88751,-416.64377,1,0,5.4
1.957,2724733.433,34.25625,-176.94376,-416.70001,1,0,5.4
1.979,2724733.453,34.33125,-177.3,-416.43753,1,0,5.4
1.996,2724733.473,34.3125,-177.15001,-416.32501,1,0,5.4
2.017,2724733.493,34.18125,-177.15001,-416.19376,1,0,5.4
2.04,2724733.513,34.36875,-177.24376,-416.00626,1,0,5.4
2.084,2724733.533,34.33125,-177.375,-416.00626,1,0,5.4
2.085,2724733.553,34.55625,-177.31876,-416.19376,1,0,5.4
2.099,2724733.573,34.51875,-177.52501,-415.98752,1,0,5.4
2.116,2724733.593,34.44375,-177.5625,-416.06253,1,0,5.4
2.136,2724733.613,34.36875,-177.20625,-416.06253,1,0,5.4
2.157,2724733.633,34.40625,-177.24376,-416.00626,1,0,5.4
2.177,2724733.653,34.2375,-177.1875,-416.02502,1,0,5.4
2.197,2724733.673,34.21875,-177.07501,-415.91251,1,0,5.4
2.216,2724733.693,34.0875,-176.90625,-415.95001,1,0,5.4
2.239,2724733.713,33.80625,-177.01875,-415.91251,1,0,5.4
2.258,2724733.733,33.80625,-176.98126,-415.72501,1,0,5.4
2.276,2724733.753,33.73125,-176.86876,-415.63126,1,0,5.4
2.296,2724733.773,33.675,-177.03751,-415.85626,1,0,5.4
2.316,2724733.793,33.5625,-176.88751,-416.06253,1,0,5.4
2.336,2724733.813,33.525,-176.83125,-416.11877,1,0,5.4
2.355,2724733.833,33.54375,-176.98126,-416.36252,1,0,5.4
2.376,2724733.853,33.39375,-177.03751,-416.15628,1,0,5.4
2.396,2724733.873,33.50625,-177.01875,-416.19376,1,0,5.4
2.415,2724733.893,33.7125,-177.03751,-416.36252,1,0,5.4
2.436,2724733.913,33.75,-176.90625,-416.26877,1,0,5.4
2.457,2724733.933,33.6375,-176.88751,-416.06253,1,0,5.4
2.476,2724733.953,33.75,-177.16876,-415.85626,1,0,5.4
2.497,2724733.973,33.75,-177.3,-415.80002,1,0,5.4
2.515,2724733.993,33.7875,-177.39375,-415.57501,1,0,5.4
2.537,2724734.013,33.9,-177.41251,-415.68753,1,0,5.4
2.556,2724734.033,33.9375,-177.45001,-415.95001,1,0,5.4
2.577,2724734.053,33.7125,-177.63751,-415.89377,1,0,5.4
2.597,2724734.073,33.7125,-177.63751,-415.57501,1,0,5.4
2.616,2724734.093,33.76875,-177.73126,-415.76251,1,0,5.4
2.637,2724734.113,33.6,-177.8625,-415.95001,1,0,5.4
2.662,2724734.133,33.7875,-177.91876,-416.21252,1,0,5.4
2.675,2724734.153,33.4875,-177.73126,-416.08127,1,0,5.4
2.696,2724734.173,33.54375,-177.84375,-416.06253,1,0,5.4
2.716,2724734.193,33.3375,-177.95625,-415.81876,1,0,5.4
2.736,2724734.213,33.13125,-177.9375,-415.63126,1,0,5.4
2.756,2724734.233,33.16875,-178.14375,-416.06253,1,0,5.4
2.776,2724734.253,33.28125,-178.25626,-415.85626,1,0,5.4
2.795,2724734.273,33.4125,-178.125,-415.76251,1,0,5.4
2.816,2724734.293,33.5625,-178.05,-415.35001,1,0,5.4
2.836,2724734.313,33.84375,-177.99376,-415.55627,1,0,5.4
2.856,2724734.333,33.9375,-178.08751,-415.51877,1,0,5.4
2.876,2724734.353,34.06875,-177.99376,-415.38751,1,0,5.4
2.896,2724734.373,34.29375,-178.125,-415.59378,1,0,5.4
2.916,2724734.393,34.2375,-178.25626,-415.59378,1,0,5.4
2.936,2724734.413,34.10625,-178.425,-415.76251,1,0,5.4
2.956,2724734.433,34.14375,-178.6125,-415.59378,1,0,5.4
2.982,2724734.453,33.88125,-178.93126,-415.81876,1,0,5.4
3.0,2724734.473,33.7875,-179.23126,-415.72501,1,0,5.4
3.018,2724734.493,33.6375,-179.175,-415.74377,1,0,5.4
3.039,2724734.513,33.6375,-179.3625,-415.74377,1,0,5.4
3.064,2724734.533,33.50625,-179.30626,-415.66876,1,0,5.4
3.075,2724734.553,33.525,-179.15625,-415.65002,1,0,5.4
3.095,2724734.573,33.4125,-178.91251,-415.36877,1,0,5.4
3.115,2724734.593,33.28125,-178.9875,-415.70627,1,0,5.4
3.137,2724734.613,33.05625,-178.63126,-415.61252,1,0,5.4
3.157,2724734.633,32.86875,-178.16251,-415.55627,1,0,5.4
3.177,2724734.653,32.64375,-178.10626,-415.51877,1,0,5.4
3.198,2724734.673,32.41875,-178.01251,-415.29376,1,0,5.4
3.217,2724734.693,32.15625,-177.58125,-415.23752,1,0,5.4
3.24,2724734.713,32.1375,-177.41251,-415.16251,1,0,5.4
3.258,2724734.733,31.96875,-177.26251,-415.27502,1,0,5.4
3.28,2724734.753,31.875,-176.86876,-415.01251,1,0,5.4
3.3,2724734.773,32.025,-176.88751,-414.90002,1,0,5.4
3.317,2724734.793,31.9875,-177.05626,-414.82501,1,0,5.4
3.34,2724734.813,32.175,-176.77501,-414.65628,1,0,5.4
3.356,2724734.833,32.38125,-176.49376,-414.67502,1,0,5.4
3.377,2724734.853,32.325,-176.625,-414.73126,1,0,5.4
3.4,2724734.873,32.5125,-176.71875,-414.60001,1,0,5.4
3.42,2724734.893,32.71875,-176.64375,-414.48752,1,0,5.4
3.438,2724734.913,32.75625,-176.925,-414.50626,1,0,5.4
3.456,2724734.933,32.775,-176.8125,-414.52502,1,0,5.4
3.475,2724734.953,32.8125,-176.86876,-414.63751,1,0,5.4
3.498,2724734.973,32.86875,-176.96251,-414.69376,1,0,5.4
3.515,2724734.993,32.7375,-176.90625,-414.95627,1,0,5.4
3.537,2724735.013,33.01875,-177.07501,-414.86252,1,0,5.4
3.556,2724735.033,32.8125,-177.28125,-414.88126,1,0,5.4
3.576,2724735.053,32.79375,-177.52501,-414.86252,1,0,5.4
3.596,2724735.073,32.79375,-177.26251,-414.78751,1,0,5.4
3.616,2724735.093,32.7375,-177.41251,-414.80627,1,0,5.4
3.639,2724735.113,32.7375,-177.33751,-414.80627,1,0,5.4
3.659,2724735.133,32.53125,-177.22501,-414.78751,1,0,5.4
3.679,2724735.153,32.53125,-177.58125,-414.65628,1,0,5.4
3.699,2724735.173,32.45625,-177.60001,-414.63751,1,0,5.4
3.717,2724735.193,32.34375,-177.39375,-414.52502,1,0,5.4
3.739,2724735.213,32.38125,-177.16876,-414.61877,1,0,5.4
3.756,2724735.233,32.26875,-177.50626,-414.60001,1,0,5.4
3.781,2724735.253,32.30625,-177.5625,-414.46878,1,0,5.4
3.8,2724735.273,32.45625,-177.75,-414.31876,1,0,5.4
3.819,2724735.293,32.55,-178.10626,-414.31876,1,0,5.4
3.836,2724735.313,32.68125,-178.03125,-414.41251,1,0,5.4
3.858,2724735.333,32.775,-178.18126,-414.28128,1,0,5.4
3.876,2724735.353,32.925,-178.38751,-414.39377,1,0,5.4
3.896,2724735.373,33.0,-178.78125,-414.31876,1,0,5.4
3.916,2724735.393,33.1125,-178.8,-414.28128,1,0,5.4
3.937,2724735.413,33.13125,-178.78125,-414.26251,1,0,5.4
3.957,2724735.433,33.01875,-178.76251,-414.24377,1,0,5.4
3.98,2724735.453,33.1875,-178.70625,-414.18753,1,0,5.4
3.998,2724735.473,33.13125,-178.72501,-414.07501,1,0,5.4
4.015,2724735.493,32.90625,-178.57501,-414.11252,1,0,5.4
4.037,2724735.513,32.86875,-178.51875,-414.30002,1,0,5.4
4.06,2724735.533,32.625,-178.25626,-414.15002,1,0,5.4
4.078,2724735.553,32.625,-178.21875,-414.28128,1,0,5.4
4.096,2724735.573,32.625,-178.25626,-414.24377,1,0,5.4
4.115,2724735.593,32.475,-178.33125,-414.52502,1,0,5.4
4.136,2724735.613,32.4,-178.46251,-414.48752,1,0,5.4
4.157,2724735.633,32.30625,-178.46251,-414.39377,1,0,5.4
4.178,2724735.653,32.55,-178.63126,-414.54376,1,0,5.4
4.196,2724735.673,32.625,-178.70625,-414.20627,1,0,5.4
4.217,2724735.693,32.6625,-178.8,-414.20627,1,0,5.4
4.238,2724735.713,32.68125,-178.81876,-414.11252,1,0,5.4
4.257,2724735.733,32.6625,-178.83751,-414.16876,1,0,5.4
4.277,2724735.753,32.7375,-178.91251,-414.03751,1,0,5.4
4.297,2724735.773,32.775,-178.875,-414.33752,1,0,5.4
4.316,2724735.793,32.925,-179.02501,-414.28128,1,0,5.4
4.337,2724735.813,32.7,-178.96875,-414.20627,1,0,5.4
4.357,2724735.833,32.64375,-178.875,-414.16876,1,0,5.4
4.377,2724735.853,32.85,-178.76251,-414.18753,1,0,5.4
4.396,2724735.873,32.94375,-179.08125,-414.05627,1,0,5.4
4.416,2724735.893,33.01875,-178.93126,-414.22501,1,0,5.4
4.439,2724735.913,33.075,-178.8,-414.00003,1,0,5.4
4.457,2724735.933,32.925,-178.875,-413.81253,1,0,5.4
4.476,2724735.953,32.925,-178.96875,-413.88751,1,0,5.4
4.5,2724735.973,33.01875,-179.02501,-413.92502,1,0,5.4
4.516,2724735.993,32.98125,-179.08125,-413.86877,1,0,5.4
4.539,2724736.013,32.8875,-179.30626,-413.96252,1,0,5.4
4.559,2724736.033,33.0,-179.13751,-414.24377,1,0,5.4
4.583,2724736.053,32.79375,-179.38126,-414.26251,1,0,5.4
4.602,2724736.074,32.83125,-179.34375,-414.45001,1,0,5.4
4.615,2724736.093,32.83125,-179.25,-414.35626,1,0,5.4
4.637,2724736.113,32.53125,-179.11876,-414.22501,1,0,5.4
4.656,2724736.133,32.41875,-178.875,-414.24377,1,0,5.4
