AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
0.075,2732350.433,54.8625,-171.26251,-396.50626,6,3,0.6
0.076,2732350.453,54.73125,-171.39375,-396.60001,6,3,0.6
0.077,2732350.473,54.84375,-171.54376,-396.54376,6,3,0.6
0.077,2732350.493,55.05,-171.75,-396.46878,6,3,0.6
0.082,2732350.513,55.03125,-171.76875,-396.54376,6,3,0.6
0.125,2732350.533,55.05,-171.75,-396.46878,6,3,0.6
0.126,2732350.553,54.91875,-172.05,-396.46878,6,3,0.6
0.143,2732350.573,54.76875,-172.21875,-396.45001,6,3,0.6
0.159,2732350.593,54.45,-172.27501,-396.41251,6,3,0.6
0.181,2732350.613,54.375,-172.48126,-396.60001,6,3,0.6
0.199,2732350.633,54.50625,-172.48126,-396.76877,6,3,0.6
0.219,2732350.653,54.61875,-172.36876,-396.84378,6,3,0.6
0.239,2732350.673,54.46875,-172.44376,-396.82501,6,3,0.6
0.259,2732350.693,54.525,-172.48126,-396.88126,6,3,0.6
0.279,2732350.713,54.58125,-172.46251,-396.63751,6,3,0.6
0.3,2732350.733,54.69375,-172.21875,-396.56253,6,3,0.6
0.319,2732350.753,54.80625,-172.18126,-396.41251,6,3,0.6
0.339,2732350.773,54.95625,-171.84375,-396.30002,6,3,0.6
0.359,2732350.793,54.9,-171.65625,-396.31876,6,3,0.6
0.38,2732350.813,54.69375,-171.58125,-396.41251,6,3,0.6
0.4,2732350.833,54.76875,-171.39375,-396.35626,6,3,0.6
0.42,2732350.853,54.76875,-171.39375,-396.30002,6,3,0.6
0.439,2732350.873,54.7125,-171.28125,-396.46878,6,3,0.6
0.459,2732350.893,54.73125,-171.1125,-396.48752,6,3,0.6
0.48,2732350.913,55.1625,-171.15001,-396.86252,6,3,0.6
0.499,2732350.933,55.1625,-171.22501,-396.69376,6,3,0.6
0.52,2732350.953,54.91875,-171.20625,-396.54376,6,3,0.6
0.542,2732350.973,54.95625,-171.20625,-396.50626,6,3,0.6
0.561,2732350.993,55.0125,-171.33751,-396.33752,6,3,0.6
0.581,2732351.013,55.125,-171.58125,-396.35626,6,3,0.6
0.599,2732351.033,55.14375,-171.52501,-396.37503,6,3,0.6
0.619,2732351.053,55.05,-171.71251,-396.46878,6,3,0.6
0.639,2732351.073,54.69375,-171.61876,-396.37503,6,3,0.6
0.659,2732351.093,54.675,-171.46875,-396.45001,6,3,0.6
0.679,2732351.113,54.95625,-171.35626,-396.56253,6,3,0.6
0.7,2732351.133,55.125,-171.33751,-396.37503,6,3,0.6
0.719,2732351.153,55.29375,-171.33751,-396.46878,6,3,0.6
0.739,2732351.173,55.14375,-171.07501,-396.46878,6,3,0.6
0.759,2732351.193,55.29375,-171.05626,-396.39377,6,3,0.6
0.78,2732351.213,55.36875,-171.16876,-396.28128,6,3,0.6
0.8,2732351.233,55.29375,-171.22501,-396.26251,6,3,0.6
0.821,2732351.253,55.29375,-171.28125,-396.43127,6,3,0.6
0.839,2732351.273,55.275,-171.46875,-396.45001,6,3,0.6
0.859,2732351.293,55.1625,-171.35626,-396.60001,6,3,0.6
0.879,2732351.313,54.95625,-171.33751,-396.69376,6,3,0.6
0.906,2732351.333,55.0125,-171.375,-396.61877,6,3,0.6
0.922,2732351.353,54.9,-171.33751,-396.73126,6,3,0.6
0.942,2732351.373,54.91875,-171.39375,-396.80627,6,3,0.6
0.961,2732351.393,54.9,-171.375,-396.95627,6,3,0.6
0.98,2732351.413,54.8625,-171.41251,-396.78751,6,3,0.6
1.002,2732351.433,54.7875,-171.39375,-396.84378,6,3,0.6
1.021,2732351.453,54.73125,-171.45001,-396.75003,6,3,0.6
1.041,2732351.473,54.46875,-171.41251,-396.80627,6,3,0.6
1.06,2732351.493,54.45,-171.52501,-396.78751,6,3,0.6
1.088,2732351.513,54.4125,-171.65625,-396.69376,6,3,0.6
1.1,2732351.533,54.65625,-171.60001,-396.75003,6,3,0.6
1.119,2732351.553,54.75,-171.43126,-396.52502,6,3,0.6
1.14,2732351.573,54.80625,-171.58125,-396.58127,6,3,0.6
1.159,2732351.593,54.75,-171.60001,-396.43127,6,3,0.6
1.181,2732351.613,54.65625,-171.71251,-396.45001,6,3,0.6
1.2,2732351.633,54.91875,-171.71251,-396.45001,6,3,0.6
1.219,2732351.653,54.8625,-171.58125,-396.52502,6,3,0.6
1.239,2732351.673,54.7875,-171.4875,-396.46878,6,3,0.6
1.258,2732351.693,54.69375,-171.43126,-396.46878,6,3,0.6
1.279,2732351.713,54.5625,-171.375,-396.43127,6,3,0.6
1.3,2732351.733,54.73125,-171.35626,-396.41251,6,3,0.6
1.323,2732351.753,54.76875,-171.31876,-396.41251,6,3,0.6
1.34,2732351.773,55.05,-171.24376,-396.43127,6,3,0.6
1.359,2732351.793,55.03125,-171.22501,-396.28128,6,3,0.6
1.379,2732351.813,55.03125,-171.31876,-396.41251,6,3,0.6
1.399,2732351.833,55.18125,-171.33751,-396.52502,6,3,0.6
1.418,2732351.853,55.2,-171.41251,-396.50626,6,3,0.6
1.44,2732351.873,55.25625,-171.45001,-396.61877,6,3,0.6
1.46,2732351.893,55.1625,-171.1875,-396.61877,6,3,0.6
1.48,2732351.913,55.2375,-170.98126,-396.73126,6,3,0.6
1.501,2732351.933,55.05,-170.94376,-396.82501,6,3,0.6
1.519,2732351.953,55.2375,-170.98126,-396.82501,6,3,0.6
1.54,2732351.973,55.21875,-170.94376,-396.80627,6,3,0.6
1.56,2732351.993,55.3125,-171.01875,-396.84378,6,3,0.6
1.581,2732352.013,55.125,-171.16876,-396.82501,6,3,0.6
1.601,2732352.033,55.0875,-171.24376,-396.90002,6,3,0.6
1.62,2732352.053,55.10625,-171.35626,-397.01251,6,3,0.6
1.64,2732352.073,54.9,-171.52501,-396.95627,6,3,0.6
1.659,2732352.093,55.05,-171.75,-396.78751,6,3,0.6
1.681,2732352.113,54.8625,-171.65625,-396.86252,6,3,0.6
1.702,2732352.133,54.99375,-171.75,-396.86252,6,3,0.6
1.723,2732352.153,54.84375,-171.46875,-396.80627,6,3,0.6
1.74,2732352.173,54.99375,-171.1875,-396.82501,6,3,0.6
1.759,2732352.193,54.9,-171.31876,-396.88126,6,3,0.6
1.779,2732352.213,54.7875,-171.43126,-396.80627,6,3,0.6
1.798,2732352.233,54.9375,-171.45001,-396.76877,6,3,0.6
1.819,2732352.253,54.75,-171.35626,-396.84378,6,3,0.6
1.841,2732352.273,54.8625,-171.60001,-396.86252,6,3,0.6
1.86,2732352.293,54.91875,-171.375,-396.63751,6,3,0.6
1.881,2732352.313,54.73125,-171.76875,-396.67502,6,3,0.6
