AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
0.048,2735683.193,22.55625,-133.18126,-411.03751,9,4.8,6
0.048,2735683.213,22.44375,-133.25626,-410.88751,9,4.8,6
0.049,2735683.233,22.48125,-133.20001,-410.88751,9,4.8,6
0.054,2735683.253,22.3875,-133.20001,-410.88751,9,4.8,6
0.088,2735683.273,22.18125,-133.40625,-411.16876,9,4.8,6
0.106,2735683.293,22.2375,-133.46251,-411.16876,9,4.8,6
0.113,2735683.313,21.95625,-133.3125,-411.75003,9,4.8,6
0.134,2735683.333,21.9,-133.27501,-411.75003,9,4.8,6
0.154,2735683.353,21.80625,-133.36876,-411.61877,9,4.8,6
0.179,2735683.373,22.10625,-133.3125,-412.05002,9,4.8,6
0.193,2735683.393,22.05,-133.57501,-412.20001,9,4.8,6
0.215,2735683.413,22.03125,-133.46251,-412.05002,9,4.8,6
0.235,2735683.433,22.21875,-133.36876,-412.01251,9,4.8,6
0.254,2735683.453,22.25625,-133.05,-411.71252,9,4.8,6
0.274,2735683.473,22.59375,-133.03125,-411.20627,9,4.8,6
0.293,2735683.493,22.66875,-132.99376,-411.18753,9,4.8,6
0.315,2735683.513,22.59375,-132.91876,-411.46878,9,4.8,6
0.334,2735683.533,22.275,-132.80626,-411.37503,9,4.8,6
0.355,2735683.553,22.06875,-132.69376,-411.15002,9,4.8,6
0.374,2735683.573,22.06875,-132.69376,-411.24377,9,4.8,6
0.393,2735683.593,22.0875,-132.76875,-411.03751,9,4.8,6
0.415,2735683.613,22.0875,-132.60001,-410.81253,9,4.8,6
0.435,2735683.633,22.275,-132.69376,-410.94376,9,4.8,6
0.454,2735683.653,22.44375,-132.5625,-411.03751,9,4.8,6
0.474,2735683.673,22.66875,-132.65625,-410.86877,9,4.8,6
0.494,2735683.693,22.8375,-132.71251,-410.90628,9,4.8,6
0.515,2735683.713,23.1,-132.43126,-410.71878,9,4.8,6
0.535,2735683.733,23.08125,-132.09375,-410.38126,9,4.8,6
0.555,2735683.753,23.0625,-131.88751,-410.62503,9,4.8,6
0.576,2735683.773,23.23125,-132.24376,-410.79376,9,4.8,6
0.594,2735683.793,23.00625,-132.33751,-410.66251,9,4.8,6
0.614,2735683.813,22.70625,-132.43126,-410.56876,9,4.8,6
0.634,2735683.833,22.51875,-132.28125,-410.32501,9,4.8,6
0.655,2735683.853,22.275,-131.94376,-409.81876,9,4.8,6
0.674,2735683.873,22.3125,-132.1125,-409.80002,9,4.8,6
0.696,2735683.893,22.48125,-132.39375,-410.15628,9,4.8,6
0.716,2735683.913,22.3875,-132.22501,-410.15628,9,4.8,6
0.734,2735683.933,22.2,-131.98126,-410.13751,9,4.8,6
0.754,2735683.953,22.3125,-131.60626,-410.02502,9,4.8,6
0.774,2735683.973,22.2375,-131.45625,-409.91251,9,4.8,6
0.795,2735683.993,22.1625,-131.4375,-410.02502,9,4.8,6
0.815,2735684.013,22.29375,-131.56876,-410.32501,9,4.8,6
0.835,2735684.033,22.36875,-131.51251,-410.32501,9,4.8,6
0.855,2735684.053,22.35,-131.34375,-410.25003,9,4.8,6
0.874,2735684.073,22.40625,-131.58751,-410.26877,9,4.8,6
0.893,2735684.093,22.3875,-131.34375,-410.28751,9,4.8,6
0.915,2735684.113,22.29375,-131.41876,-410.55002,9,4.8,6
0.935,2735684.133,22.55625,-131.45625,-410.64377,9,4.8,6
0.956,2735684.153,22.66875,-131.34375,-410.88751,9,4.8,6
0.978,2735684.173,22.55625,-131.23126,-411.00003,9,4.8,6
0.995,2735684.193,22.5375,-131.21251,-411.33752,9,4.8,6
1.018,2735684.213,22.275,-131.34375,-410.98126,9,4.8,6
1.038,2735684.233,22.36875,-131.38126,-410.81253,9,4.8,6
1.054,2735684.253,22.33125,-131.70001,-410.71878,9,4.8,6
1.074,2735684.273,22.36875,-131.88751,-410.49377,9,4.8,6
1.096,2735684.293,21.975,-131.925,-410.36252,9,4.8,6
1.116,2735684.313,21.7875,-132.09375,-410.30627,9,4.8,6
1.135,2735684.333,21.9,-132.20625,-410.06253,9,4.8,6
