AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
1.925,2730090.633,51.24375,-169.44376,-421.35001,4,3,6
1.945,2730090.653,51.31875,-169.40625,-421.40628,4,3,6
1.964,2730090.673,51.4875,-169.59375,-421.46252,4,3,6
1.985,2730090.693,51.4125,-169.81876,-421.25626,4,3,6
2.008,2730090.713,51.675,-169.78125,-420.99377,4,3,6
2.026,2730090.733,51.73125,-169.95001,-421.08752,4,3,6
2.048,2730090.753,51.6,-169.91251,-421.14377,4,3,6
2.065,2730090.773,51.2625,-170.25,-421.20001,4,3,6
2.091,2730090.793,51.46875,-170.26875,-421.44376,4,3,6
2.105,2730090.813,51.5625,-170.40001,-421.48126,4,3,6
2.125,2730090.833,51.35625,-170.26875,-421.25626,4,3,6
2.145,2730090.853,51.375,-170.15625,-421.53751,4,3,6
2.165,2730090.873,51.225,-170.04376,-421.55627,4,3,6
2.186,2730090.893,51.05625,-169.76251,-421.53751,4,3,6
2.207,2730090.913,51.2625,-169.55626,-421.51877,4,3,6
2.225,2730090.933,51.1875,-169.35001,-421.46252,4,3,6
2.245,2730090.953,51.1125,-169.46251,-421.44376,4,3,6
2.264,2730090.973,51.05625,-169.29376,-421.38751,4,3,6
2.285,2730090.993,51.16875,-169.44376,-421.53751,4,3,6
2.305,2730091.013,51.13125,-169.35001,-421.36877,4,3,6
2.326,2730091.033,51.3,-169.35001,-421.23752,4,3,6
2.345,2730091.053,51.4875,-169.425,-421.23752,4,3,6
2.365,2730091.073,51.15,-169.66876,-421.12503,4,3,6
2.385,2730091.093,51.6375,-169.59375,-421.03128,4,3,6
2.405,2730091.113,51.46875,-169.36876,-421.03128,4,3,6
2.425,2730091.133,51.375,-169.425,-421.06876,4,3,6
2.445,2730091.153,51.3,-169.44376,-420.91876,4,3,6
2.465,2730091.173,51.3375,-169.6125,-420.95627,4,3,6
2.485,2730091.193,51.3,-169.6125,-421.08752,4,3,6
2.505,2730091.213,51.31875,-169.81876,-421.10626,4,3,6
2.525,2730091.233,51.525,-169.57501,-421.08752,4,3,6
2.546,2730091.253,51.375,-169.6875,-420.88126,4,3,6
2.566,2730091.273,51.5625,-169.74376,-420.63751,4,3,6
2.586,2730091.293,51.69375,-169.6125,-420.63751,4,3,6
2.63,2730091.313,51.7125,-169.63126,-420.52502,4,3,6
2.63,2730091.333,51.61875,-169.59375,-420.75003,4,3,6
2.645,2730091.353,51.4875,-169.63126,-420.61877,4,3,6
2.666,2730091.373,51.375,-169.74376,-420.63751,4,3,6
2.686,2730091.393,51.28125,-169.875,-420.31876,4,3,6
2.707,2730091.413,51.2625,-169.76251,-420.52502,4,3,6
2.726,2730091.433,50.98125,-169.51875,-420.50626,4,3,6
2.746,2730091.453,50.94375,-169.65001,-420.41251,4,3,6
2.768,2730091.473,50.8875,-169.46251,-420.43127,4,3,6
2.785,2730091.493,51.01875,-169.33125,-420.24377,4,3,6
2.809,2730091.513,50.90625,-169.14375,-420.43127,4,3,6
2.827,2730091.533,50.90625,-169.05,-420.20627,4,3,6
2.846,2730091.553,51.09375,-169.01251,-420.52502,4,3,6
2.866,2730091.573,51.09375,-169.05,-420.61877,4,3,6
2.886,2730091.593,51.3,-169.125,-420.73126,4,3,6
2.907,2730091.613,51.3,-169.06876,-420.56253,4,3,6
2.926,2730091.633,51.3,-169.14375,-420.56253,4,3,6
2.946,2730091.653,51.0375,-169.2375,-420.48752,4,3,6
2.966,2730091.673,51.28125,-169.425,-420.30002,4,3,6
2.984,2730091.693,51.2625,-169.27501,-420.15002,4,3,6
3.004,2730091.713,50.925,-169.46251,-420.11252,4,3,6
3.025,2730091.733,50.90625,-169.66876,-419.94376,4,3,6
3.046,2730091.753,50.86875,-169.95001,-419.83127,4,3,6
3.066,2730091.773,50.7,-170.11876,-419.85001,4,3,6
3.086,2730091.793,50.75625,-170.28751,-419.73752,4,3,6
3.105,2730091.813,51.01875,-170.41876,-419.77502,4,3,6
3.126,2730091.833,50.925,-170.47501,-419.94376,4,3,6
3.149,2730091.853,50.925,-170.60626,-420.13126,4,3,6
3.181,2730091.873,50.9625,-170.34375,-420.13126,4,3,6
3.189,2730091.893,51.075,-170.175,-420.24377,4,3,6
3.206,2730091.913,51.0375,-170.00626,-420.33752,4,3,6
3.227,2730091.933,51.15,-169.76251,-420.48752,4,3,6
3.247,2730091.953,51.15,-169.70625,-420.67502,4,3,6
3.267,2730091.973,50.8875,-169.70625,-420.71252,4,3,6
3.287,2730091.993,50.925,-169.59375,-420.65628,4,3,6
3.306,2730092.013,50.94375,-169.35001,-420.61877,4,3,6
3.328,2730092.033,51.05625,-169.33125,-420.60001,4,3,6
3.349,2730092.053,50.86875,-169.20001,-420.56253,4,3,6
3.367,2730092.073,50.83125,-169.2375,-420.50626,4,3,6
3.386,2730092.093,50.775,-169.25626,-420.31876,4,3,6
3.406,2730092.113,50.775,-169.3125,-420.26251,4,3,6
3.426,2730092.133,50.8875,-169.20001,-420.11252,4,3,6
3.446,2730092.153,50.8875,-169.2375,-420.24377,4,3,6
3.465,2730092.173,50.6625,-169.14375,-420.30002,4,3,6
3.486,2730092.193,50.6625,-169.14375,-420.30002,4,3,6
3.506,2730092.213,50.625,-169.2375,-420.30002,4,3,6
3.527,2730092.233,50.79375,-169.14375,-420.39377,4,3,6
3.55,2730092.253,51.0375,-169.16251,-420.24377,4,3,6
3.566,2730092.273,50.79375,-169.05,-420.31876,4,3,6
3.585,2730092.293,50.68125,-169.06876,-420.43127,4,3,6
3.606,2730092.313,50.53125,-169.10626,-420.20627,4,3,6
3.63,2730092.333,50.49375,-169.20001,-420.20627,4,3,6
3.646,2730092.353,50.56875,-169.35001,-420.28128,4,3,6
3.671,2730092.373,50.60625,-169.21875,-420.18753,4,3,6
3.686,2730092.393,50.38125,-169.14375,-420.01877,4,3,6
3.707,2730092.413,50.26875,-169.25626,-420.30002,4,3,6
3.731,2730092.433,50.41875,-169.2375,-420.05627,4,3,6
3.747,2730092.453,50.56875,-169.3125,-419.98126,4,3,6
3.766,2730092.473,50.71875,-169.2375,-420.01877,4,3,6
3.785,2730092.493,50.8125,-169.46251,-419.79376,4,3,6
3.805,2730092.513,50.8125,-169.51875,-419.79376,4,3,6
3.826,2730092.533,50.79375,-169.85626,-419.90628,4,3,6
3.845,2730092.553,51.0375,-170.04376,-420.09378,4,3,6
3.865,2730092.573,50.925,-170.0625,-420.24377,4,3,6
3.886,2730092.593,51.01875,-169.96875,-420.54376,4,3,6
3.906,2730092.613,51.13125,-169.89375,-420.52502,4,3,6
3.929,2730092.633,51.09375,-169.91251,-420.37503,4,3,6
3.947,2730092.653,51.20625,-169.57501,-420.58127,4,3,6
3.969,2730092.673,51.24375,-169.6125,-420.45001,4,3,6
3.987,2730092.693,51.45,-169.66876,-420.43127,4,3,6
4.008,2730092.713,51.43125,-169.6125,-420.31876,4,3,6
4.03,2730092.733,51.6,-169.48126,-420.15002,4,3,6
4.049,2730092.753,51.80625,-169.63126,-419.86877,4,3,6
4.069,2730092.773,51.76875,-169.72501,-419.83127,4,3,6
4.085,2730092.793,51.88125,-169.6125,-420.11252,4,3,6
4.107,2730092.813,51.9375,-169.95001,-419.90628,4,3,6
4.128,2730092.833,51.825,-169.8,-420.18753,4,3,6
4.147,2730092.853,51.65625,-169.6125,-420.16876,4,3,6
4.165,2730092.873,51.65625,-169.425,-420.30002,4,3,6
4.185,2730092.893,51.6,-169.5,-420.13126,4,3,6
4.207,2730092.913,51.69375,-169.5,-420.39377,4,3,6
4.226,2730092.933,51.75,-169.55626,-420.37503,4,3,6
4.245,2730092.953,51.4875,-169.72501,-420.03751,4,3,6
4.266,2730092.973,51.5625,-169.57501,-420.18753,4,3,6
4.286,2730092.993,51.6375,-169.63126,-419.98126,4,3,6
4.307,2730093.013,51.58125,-169.55626,-420.13126,4,3,6
4.331,2730093.033,51.43125,-169.76251,-420.07501,4,3,6
4.346,2730093.053,51.225,-169.59375,-420.28128,4,3,6
4.366,2730093.073,51.1125,-169.35001,-420.16876,4,3,6
4.386,2730093.093,50.9625,-169.29376,-420.35626,4,3,6
4.407,2730093.113,51.15,-169.38751,-420.56253,4,3,6
4.43,2730093.133,51.0375,-169.3125,-420.45001,4,3,6
4.45,2730093.153,50.86875,-169.33125,-420.43127,4,3,6
4.47,2730093.173,50.9625,-169.33125,-420.33752,4,3,6
4.486,2730093.193,51.1125,-169.3125,-420.18753,4,3,6
4.509,2730093.213,51.3375,-169.18126,-420.01877,4,3,6
4.528,2730093.233,51.05625,-169.3125,-420.11252,4,3,6
4.55,2730093.253,51.075,-168.97501,-420.09378,4,3,6
4.565,2730093.273,51.09375,-168.91876,-420.16876,4,3,6
4.588,2730093.293,50.9625,-169.05,-420.39377,4,3,6
4.606,2730093.313,50.83125,-169.10626,-420.48752,4,3,6
4.627,2730093.333,50.8875,-169.125,-420.46878,4,3,6
4.646,2730093.353,50.925,-169.06876,-420.60001,4,3,6
4.665,2730093.373,50.8125,-169.53751,-420.88126,4,3,6
4.685,2730093.393,50.86875,-169.66876,-420.88126,4,3,6
4.706,2730093.413,50.94375,-169.78125,-420.95627,4,3,6
4.731,2730093.433,50.71875,-169.63126,-421.03128,4,3,6
4.746,2730093.453,50.85,-169.63126,-420.93753,4,3,6
4.769,2730093.473,51.20625,-169.63126,-420.97501,4,3,6
4.787,2730093.493,51.24375,-169.53751,-420.97501,4,3,6
4.81,2730093.513,51.1875,-169.57501,-420.86252,4,3,6
4.826,2730093.533,51.225,-169.35001,-420.76877,4,3,6
4.848,2730093.553,51.28125,-169.38751,-420.78751,4,3,6
4.871,2730093.573,51.31875,-169.51875,-420.78751,4,3,6
4.885,2730093.593,51.46875,-169.5,-420.69376,4,3,6
4.907,2730093.613,51.54375,-169.55626,-420.82501,4,3,6
4.926,2730093.633,51.31875,-169.5,-421.01251,4,3,6
4.95,2730093.653,51.1875,-169.36876,-420.71252,4,3,6
4.966,2730093.673,51.16875,-169.38751,-420.76877,4,3,6
4.985,2730093.693,51.05625,-169.27501,-420.61877,4,3,6
5.007,2730093.713,51.05625,-169.27501,-420.65628,4,3,6
5.026,2730093.733,50.925,-169.18126,-420.52502,4,3,6
