rmse,mse,mae,euclid,n_trees
2.798259996763348,1.7476847533268676,7.830259009486013,2.648252384944367,100
2.798265977480403,1.747076767993965,7.830292480724355,2.647188748552471,5000
2.7983385679960464,1.747247817825126,7.830698741134164,2.647370126637283,2000
2.798340285088457,1.7470983347173608,7.830708351148947,2.6471339559674827,1000
2.7984038447108075,1.7471620689281766,7.831064078092229,2.6473156876212416,500
2.7988365722056034,1.7470988492040025,7.833486157915611,2.647801529299769,10
